paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
provisional-title-000d9ebe01ef83e1,COLM,conference,2026,main,Co-Evolving Structured Knowledge and Reasoning in Language Models,Ryan Thomas Noonan; Linxi Zhao; Menghan Xu; Akanksha Sarkar; Mihir Mishra; Dongyoung Go; Kilian Q Weinberger; Yoav Artzi; Jennifer J. Sun,,,,,,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-0041e1360491be08,COLM,conference,2026,main,SlimQwen: Exploring the Pruning and Distillation in Large MoE Model Pre-training,Shengkun Tang; Zekun Wang; Bo Zheng; Liangyu Wang; Rui Men; Siqi Zhang; Xiulong Yuan; Zihan Qiu; Zhiqiang Shen; Dayiheng Liu,"Structured pruning and knowledge distillation (KD) are typical techniques for compressing large language models, but it remains unclear how they should be applied at pretraining scale, especially to recent mixture-of-experts (MoE) models. In this work, we systematically study MoE compression in large-scale pretraining, focusing on three key questions: whether pruning provides a better initialization than training from scratch, how expert compression choices affect the final model after continued training, and which training strategy is most effective. We have the following findings: First, across depth, width, and expert compression, pruning a pretrained MoE consistently outperforms training the target architecture from scratch under the same training budget. Second, different one-shot expert compression methods converge to similar final performance after large-scale continual pretraining. Motivated by this, we introduce a simple partial-preservation expert merging strategy that improves downstream performance across most benchmarks. Third, combining KD with the language modeling loss outperforms KD alone, particularly on knowledge-intensive tasks. We further propose multi-token prediction (MTP) distillation, which yields consistent gains. Finally, given the same training tokens, progressive pruning schedules outperform one-shot compression, suggesting that gradual architecture transitions lead to better optimization trajectories. Putting it all together, we compress Qwen3-Next-80A3B to a 23A2B model that retains competitive performance. These results offer practical guidance for efficient MoE compression at scale.",Hugging Face ai-conferences (arxiv),https://huggingface.co/datasets/ai-conferences/all-papers,third_party_crosschecked,2026-08-13T09:37:42+00:00,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-005aeceaace9cfd4,COLM,conference,2026,main,Demystifying OPD: Length Inflation and Stabilization Strategies for Large Language Models,Feng Luo; Yu-Neng Chuang; Guanchu Wang; Zicheng Xu; Xiaotian Han; Tianyi Zhang; Vladimir Braverman,"On-policy distillation (OPD) trains student models under their own induced distribution while leveraging supervision from stronger teachers. We identify a failure mode of OPD: as training progresses, on-policy rollouts can undergo abrupt length inflation, causing truncated trajectories to dominate the training data. This truncation collapse coincides with abrupt repetition saturation and induces biased gradient signals, leading to severe training instability and sharp degradation in validation performance. We attribute this problem to the interaction between student-induced data collection and the distillation objective, which implicitly favors long and repetitive rollouts. To address this issue, we propose StableOPD, a stabilized OPD framework that combines a reference-based divergence constraint with rollout mixture distillation. These together mitigate repetition-induced length inflation and further stabilize OPD training. Across multiple math reasoning datasets, our approach prevents truncation collapse, stabilizes training dynamics, and improves performance by 7.2% on average.",Hugging Face ai-conferences (arxiv),https://huggingface.co/datasets/ai-conferences/all-papers,third_party_crosschecked,2026-08-13T09:37:42+00:00,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-00df4b73cb1a36f9,COLM,conference,2026,main,Exploring Temporal Curriculum in On-Policy Distillation for Multi-turn Autonomous Agents,Jiaqi WANG; Wenhao Zhang; Weijie Shi; Yaliang Li; James Cheng,,,,,,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-01a6d9dd038fd223,COLM,conference,2026,main,From RLVR to RLSVR: Breaking the Verifiability Bottleneck Beyond Math and Code via Self-Verifiable Rewards,Qinsi Wang; Jing Shi; Huazheng Wang; Kun Wan; Yiran Wu; Bo Liu; Qingyun Wu; Hai Helen Li; Yiran Chen; Handong Zhao; Wentian Zhao,,,,,,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-01cd7e30969f376d,COLM,conference,2026,main,Beyond Perplexity: Character Distribution Signatures and the MDTA Benchmark for AI Text Detection,Priyadarshan Narayanasamy; Swastik Agrawal; Klint Faber; Fardina Fathmiul Alam,"Training-free AI text detection methods primarily rely on model log-probabilities, achieving strong performance through approaches like Binoculars and DNA-DetectLLM. However, these methods face a fundamental ceiling as models are optimized through RLHF to produce human-like probability distributions. We introduce an alternative detection signal based on character distribution signatures. We provide theoretical foundations showing that AI models, trained on massive domain-balanced corpora, approximate global character patterns while humans exhibit domain-specialized distributions, creating a ""Wall of Separation"" where human-AI divergence significantly exceeds AI-AI divergence. To enable systematic evaluation, we construct the Models-Domains-Temperatures-Adversarials (MDTA) benchmark comprising 642,274 prompt-aligned samples across 4 models, 5 domains, 3 temperature settings, and 3 adversarial strategies, substantially expanding the HC3 dataset with modern model responses, temperature variation, and adversarial augmentation. We introduce the Letter Distribution Score (LD-Score), demonstrating low correlation (r = 0.08-0.13) with perplexity methods. When integrated with DNA-DetectLLM, Binoculars and FastDetectGPT via a non-linear classifier, LD-Score yields consistent improvements in AUROC and F1, with particularly pronounced gains in specialized domains where vocabulary constraints amplify the detection signal. The MDTA dataset can be accessed at: https://huggingface.co/datasets/nsp909/MDTA.",Hugging Face ai-conferences (arxiv),https://huggingface.co/datasets/ai-conferences/all-papers,third_party_crosschecked,2026-08-13T09:37:42+00:00,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-0223d0b64c6e96fe,COLM,conference,2026,main,Reasoning Fine-Tuning Induces Persistent Latent Policy States,Abir Harrasse; Michael Lan; Hunar Batra; Fateme Hashemi Chaleshtori; Chaithanya Bandi,"Reasoning-specialized language models show large performance gains over base models, yet the internal changes responsible for improved multi-step reasoning remain poorly understood. It is unclear whether reasoning fine-tuning improves local token-level competence or globally reorganizes how models structure inference over time. We address this question by modeling Chain-of-Thought reasoning as a switching dynamical system (SDS), in which internal representations evolve under discrete latent policy states. Our framework combines time-aware contrastive representation learning with discrete regime discovery to recover latent policies from activation trajectories. Across four benchmarks and model scales from 1.5B to 32B parameters, reasoning-fine-tuned models exhibit richer latent-policy organization than their base counterparts, characterized by more differentiated transition structure and model-dependent changes in state utilization, persistence, and mixing. The recovered regimes exhibit functional specialization aligned with distinct reasoning stages, and extensive controls confirm that their structure is not explained by correctness, representation learning, or modeling priors, but depends on the coherent temporal organization of reasoning trajectories. Causal interventions further show that the regimes are functionally meaningful: state-swap ablations reduce one-step predictive fit, while transplanting reasoning dynamics into base models improves performance on challenging reasoning problems. Finally, SDS-guided pruning of failure-prone reasoning prefixes outperforms self-consistency in 11 of 12 model-dataset settings, with gains of up to 12.5 percentage points. Together, our results suggest that reasoning fine-tuning globally reorganizes latent dynamics, offering a new lens for mechanistic analysis and process-level control of reasoning models.",Hugging Face ai-conferences (arxiv),https://huggingface.co/datasets/ai-conferences/all-papers,third_party_crosschecked,2026-08-13T09:37:42+00:00,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-028aeab18f4801ad,COLM,conference,2026,main,CoVLA: Vision-Language Alignment with Fewer Vision Tokens,Junyong Park; Yong-Ju Lee; Daeyoung Kim,,,,,,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-02ceb2fb388914d3,COLM,conference,2026,main,InterviewSim: A Scalable Framework for Interview-Grounded Personality Simulation,Yu Li; Pranav Narayanan Venkit; Yada Pruksachatkun; Chien-Sheng Wu,"Simulating real personalities with large language models requires grounding generation in authentic personal data. Existing evaluation approaches rely on demographic surveys, personality questionnaires, or short AI-led interviews as proxies, but lack direct assessment against what individuals actually said. We address this gap with an interview-grounded evaluation framework for personality simulation at a large scale. We extract over 671,000 question-answer pairs from 23,000 verified interview transcripts across 1,000 public personalities, each with an average of 11.5 hours of interview content. We propose a multi-dimensional evaluation framework with four complementary metrics measuring content similarity, factual consistency, personality alignment, and factual knowledge retention. Through systematic comparison, we demonstrate that methods grounded in real interview data substantially outperform those relying solely on biographical profiles or the model's parametric knowledge. We further reveal a trade-off in how interview data is best utilized: retrieval-augmented methods excel at capturing personality style and response quality, while chronological-based methods better preserve factual consistency and knowledge retention. Our evaluation framework enables principled method selection based on application requirements, and our empirical findings provide actionable insights for advancing personality simulation research.",Hugging Face ai-conferences (arxiv),https://huggingface.co/datasets/ai-conferences/all-papers,third_party_crosschecked,2026-08-13T09:37:42+00:00,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
provisional-title-032c784611df3b83,COLM,conference,2026,main,On Epistemic Diversity in Large Language Models,Elisabeth Kirsten; Nicole C. Krämer; Muhammad Bilal Zafar,,,,,,,,https://colmweb.org/AcceptedPapers.html,,COLM Accepted Papers,https://colmweb.org/AcceptedPapers.html,official,rolling,rolling,2026-08-12T09:53:28+00:00
