paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
3136,ECCV,conference,2026,oral,Repurposing Geometric Foundation Models for Multi-view Diffusion,Wooseok Jang; Seonghu Jeon; Jisang Han; Jinhyeok Choi; Minkyung Kwon; Seungryong Kim; Saining Xie; Sainan Liu,,,,,,,,https://eccv.ecva.net/virtual/2026/oral/6127,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/events/oral,official,rolling,rolling,2026-09-01T09:21:08+00:00
3137,ECCV,conference,2026,poster,Transferability Between Understanding and Generation in Unified Multimodal Models,Jiwon Kang; Heeji Yoon; Jaewoo Jung; Jaewon Min; Minkyeong Jeon; Biyeon Hwang; Sangwon Jung; Seungryong Kim,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3137,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3138,ECCV,conference,2026,poster,MoE-KD: Your Teacher Model is Worth Mixture-of-Experts for Knowledge Distillation,Kuo Shi; Wenjie Zhu; Bo Peng,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3138,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3139,ECCV,conference,2026,poster,TETO: Tracking Events with Teacher Observation for Motion Estimation and Frame Interpolation,Jini Yang; Eunbeen Hong; Soowon Son; Hyunkoo Lee; Sunghwan Hong; Sunok Kim; Seungryong Kim,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3139,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3140,ECCV,conference,2026,poster,InnoText: A Unified Model for Visual Text Generation and Editing,Haowei Liu; Runze He; Jian Lu; Ao Ma; Run Ling; Ke Cao; Jiasong Feng; Wei Feng; Shuo Lu; Yexing Xu; WANG Yun; Jing Wang; Zhanjie Zhang,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3140,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3141,ECCV,conference,2026,poster,"Blind to Position, Biased in Language: Probing Mid-Layer Representational Bias in Vision-Language Encoders for Zero-Shot Language-Grounded Spatial Understanding",Na Min An; Inha Kang; Minhyun Lee; Hyunjung Shim,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3141,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3142,ECCV,conference,2026,poster,MinerU-Diffusion: Rethinking Document OCR as Inverse Rendering via Diffusion Decoding,Hejun Dong; Junbo Niu; Bin Wang; Weijun Zeng; Wentao Zhang; Conghui He,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3142,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3143,ECCV,conference,2026,poster,Wavelet-Driven Cross-Domain Consistency for Mixed-Supervised 3D Tumor Segmentation,Tianzhong Lan; Weili Jiang; Yisong Liu; Yi Zhou; Junqi Bai; Si Yong Yeo; Xulei Yang; Min Zhu,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3143,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3144,ECCV,conference,2026,poster,Dual Distribution Estimation for Zero-shot Noisy Test-Time Adaptation with VLMs,Wenjie Zhu; Yabin Zhang; Liang Xu; Xin Jin; Wenjun Zeng; Lei Zhang,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3144,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
3145,ECCV,conference,2026,poster,Monte Carlo Energy Aggregation for Mobile 3D Gaussian Splatting,Xiaobiao Du; YuAn Wang; Hao Li; Bosheng Wang; Xun Sun; Xin Yu,,,,,,,,https://eccv.ecva.net/virtual/2026/poster/3145,,ECVA official virtual platform (eccv.ecva.net),https://eccv.ecva.net/virtual/2026/papers.html,official,rolling,rolling,2026-09-01T09:21:08+00:00
