paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1145/3690624.3709379,KDD,conference,2025,Applied Data Science Track,LLMLight: Large Language Models as Traffic Signal Control Agents.,Siqi Lai; Zhao Xu; Weijia Zhang; Hao Liu; Hui Xiong,,,,,,10.1145/3690624.3709379,,https://doi.org/10.1145/3690624.3709379,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709380,KDD,conference,2025,Applied Data Science Track,Large-scale Human Mobility Data Regeneration for Open Urban Research.,Ruixing Zhang; Yunqi Liu; Liangzhe Han; Leilei Sun; Chuanren Liu; Jibin Wang; Weifeng Lv,"Large-scale human mobility data contains rich spatial and temporal information for urban sensing, crowd flow modeling, and urban planning. However, it is usually difficult to access wide-coverage, long-term, and consistent-time human mobility data. Most of the publicly available datasets are actually only records of discontinuous trajectories of a very small portion of urban citizens in asynchronous time due to the limited usage of apps for location data collection or the limited number of volunteers. To address this problem and empower open urban research, this paper constructs a high-quality human mobility dataset by generating large-scale citizen trajectories based on massive cellular signaling data. Particularly, we first propose a heatmap diffusion module to generate a probability heatmap that produces plausible trajectories at both the individual and city scales. Then, we propose a masked trajectory AutoEncoder, which can generate individual trajectory embeddings from partially given or empty trajectories. Third, a flexible framework is provided to incorporate the heatmap diffusion module with the masked trajectory embeddings, demonstrating significant flexibility in handling both fully masked trajectories for city-wide analysis and partially masked trajectories for specific locations. We have conducted extensive experiments to validate the utility of the regenerated trajectories at both individual and region levels for various applications. Numerous case studies further illustrate that our model learns not only the distribution of the trajectories but also the semantics of different urban areas.",OpenAlex,https://openalex.org/W4409149561,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709380,,https://doi.org/10.1145/3690624.3709380,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709381,KDD,conference,2025,Applied Data Science Track,Struct-X: Enhancing the Reasoning Capabilities of Large Language Models in Structured Data Scenarios.,Xiaoyu Tan; Haoyu Wang; Xihe Qiu; Leijun Cheng; Yuan Cheng; Wei Chu; Yinghui Xu; Yuan Qi,,,,,,10.1145/3690624.3709381,,https://doi.org/10.1145/3690624.3709381,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709382,KDD,conference,2025,Applied Data Science Track,MOPI-HFRS: A Multi-objective Personalized Health-aware Food Recommendation System with LLM-enhanced Interpretation.,Zheyuan Zhang; Zehong Wang; Tianyi Ma; Varun Sameer Taneja; Sofia Nelson; Nhi Ha Lan Le; Keerthiram Murugesan; Mingxuan Ju; Nitesh V. Chawla; Chuxu Zhang; Yanfang Ye,"The prevalence of unhealthy eating habits has become a growing concern in the United States. However, popular food recommendation platforms, such as Yelp, tend to prioritize users' dietary preferences over the healthiness of their choices. While some efforts have focused on developing health-aware food recommendation systems, personalization based on specific health conditions remains underexplored. Additionally, the lack of interpretability in these systems prevents users from evaluating the reliability of recommendations, limiting their practical adoption. To address these issues, we introduce two large-scale personalized health-aware food recommendation benchmarks at the first attempt. Building on this, we propose a novel framework called the Multi-Objective Personalized Interpretable Health-aware Food Recommendation System (MOPI-HFRS). This system generates food recommendations by jointly optimizing three objectives: user preference, personalized healthiness, and nutritional diversity. It also incorporates a reasoning module enhanced by large language models (LLMs) to provide interpretable recommendations that promote healthy dietary knowledge. The framework integrates descriptive features and health data using two structure learning and pooling modules within a graph learning framework. Pareto optimization is applied to balance the multi-faceted objectives. To further enhance healthy dietary knowledge, the system leverages LLMs by infusing knowledge from the recommendation model, generating meaningful interpretations for the recommendations. Extensive experiments on the proposed benchmarks demonstrate that MOPI-HFRS outperforms state-of-the-art methods by delivering diverse, healthy food recommendations alongside reliable explanations.",OpenAlex,https://openalex.org/W4409149653,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709382,,https://doi.org/10.1145/3690624.3709382,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709383,KDD,conference,2025,Applied Data Science Track,LDMapNet-U: An End-to-End System for City-Scale Lane-Level Map Updating.,Deguo Xia; Weiming Zhang; Xiyan Liu; Wei Zhang; Chenting Gong; Xiao Tan; Jizhou Huang; Mengmeng Yang; Diange Yang,"An up-to-date city-scale lane-level map is an indispensable infrastructure and a key enabling technology for ensuring the safety and user experience of autonomous driving systems. In industrial scenarios, reliance on manual annotation for map updates creates a critical bottleneck. Lane-level updates require precise change information and must ensure consistency with adjacent data while adhering to strict standards. Traditional methods utilize a three-stage approach -- construction, change detection, and updating -- which often necessitates manual verification due to accuracy limitations. This results in labor-intensive processes and hampers timely updates. To address these challenges, we propose LDMapNet-U, which implements a new end-to-end paradigm for city-scale lane-level map updating. By reconceptualizing the update task as an end-to-end map generation process grounded in historical map data, we introduce a paradigm shift in map updating that simultaneously generates vectorized maps and change information. To achieve this, a Prior-Map Encoding (PME) module is introduced to effectively encode historical maps, serving as a critical reference for detecting changes. Additionally, we incorporate a novel Instance Change Prediction (ICP) module that learns to predict associations with historical maps. Consequently, LDMapNet-U simultaneously achieves vectorized map element generation and change detection. To demonstrate the superiority and effectiveness of LDMapNet-U, extensive experiments are conducted using large-scale real-world datasets. In addition, LDMapNet-U has been successfully deployed in production at Baidu Maps since April 2024, supporting lane-level map updating for over 360 cities and significantly shortening the update cycle from quarterly to weekly, thereby enhancing the timeliness and accuracy of lane-level map. The nationwide, high-frequency city-scale lane-level map has been instrumental in the development of the lane-level navigation product serving hundreds of millions of users, while also integrating into the autonomous driving systems of several leading vehicle companies.",OpenAlex,https://openalex.org/W4406122791,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709383,,https://doi.org/10.1145/3690624.3709383,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709384,KDD,conference,2025,Applied Data Science Track,Contrastive Learning for Inventory Add Prediction at Fliggy.,Manwei Li; Detao Lv; Yao Yu; Zihao Jiao,"Online Travel Platforms (OTPs) serve as crucial bridges between hotels and users, hotel staff can synchronize room inventory information with OTPs through manual and auto modes. In the manual mode, the hotel staff must manually maintain the inventory information on the OTPs. This mode often leads to the ""inventory synchronization delay'' phenomenon where OTPs show no availability while hotels still have available rooms, seriously affecting the competitiveness of OTPs and hotel sales. To address this issue, Fliggy uses inventory add prediction (IAP) to determine whether to add an inventory for the sold-out room type. However, in practice, accurate modeling of IAP faces significant challenges due to the data sparsity. In this paper, we propose a Contrastive Learning framework for Inventory Add Prediction at Fliggy (CL4IAP), which consists of the Joint Pay-Accept Prediction Module, the Data Augmentation Module, and the Contrastive Learning Module. Specifically, the Joint Pay-Accept Prediction Module aims to predict the likelihood of generating an order and the hotel acceptance after adding an inventory. It also includes a specially designed correlation enhancement component that facilitates the expert prediction network's learning through knowledge transfer based on inter-task correlation. In the Data Augmentation Module, we design three novel data augmentation strategies for the first time based on the correlation and importance of features. In the Contrastive Learning Module, we design instance-level and cluster-level contrastive losses, which aim to minimize the distance between positive sample pairs and mitigate the negative impact of false negative sample pairs, respectively. Both offline and online experiments demonstrate the effectiveness of CL4IAP, and CL4IAP has been successfully deployed on Fliggy.",OpenAlex,https://openalex.org/W4409149737,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709384,,https://doi.org/10.1145/3690624.3709384,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709385,KDD,conference,2025,Applied Data Science Track,BackdoorMBTI: A Backdoor Learning Multimodal Benchmark Tool Kit for Backdoor Defense Evaluation.,Haiyang Yu; Tian Xie; Jiaping Gui; Pengyang Wang; Pengzhou Cheng; Ping Yi; Yue Wu,"Over the past few years, the emergence of backdoor attacks has presented significant challenges to deep learning systems, allowing attackers to insert backdoors into neural networks. When data with a trigger is processed by a backdoor model, it can lead to mispredictions targeted by attackers, whereas normal data yields regular results. The scope of backdoor attacks is expanding beyond computer vision and encroaching into areas such as natural language processing and speech recognition. Nevertheless, existing backdoor defense methods are typically tailored to specific data modalities, restricting their application in multimodal contexts. While multimodal learning proves highly applicable in facial recognition, sentiment analysis, action recognition, visual question answering, the security of these models remains a crucial concern. Specifically, there are no existing backdoor benchmarks targeting multimodal applications or related tasks.",OpenAlex,https://openalex.org/W4409149360,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709385,,https://doi.org/10.1145/3690624.3709385,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709386,KDD,conference,2025,Applied Data Science Track,Understanding Team Collapse via Probabilistic Graphical Models.,Iasonas Nikolaou; Konstantinos Pelechrinis; Evimaria Terzi,"In this work, we develop a graphical model to capture team dynamics. We analyze the model and show how to learn its parameters from data. Using our model we study the phenomenon of team collapse from a computational perspective. We use simulations and real-world experiments to find the main causes of team collapse. We also provide the principles of building resilient teams, i.e., teams that avoid collapsing. Finally, we use our model to analyze the structure of NBA teams and dive deeper into games of interest.",OpenAlex,https://openalex.org/W4409149169,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709386,,https://doi.org/10.1145/3690624.3709386,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709387,KDD,conference,2025,Applied Data Science Track,Breaker: Removing Shortcut Cues with User Clustering for Single-slot Recommendation System.,Chao Wang; Yue Zheng; Yujing Zhang; Yan Feng; Zhe Wang; Xiaowei Shi; An You; Yu Chen,"In a single-slot recommendation system, users are only exposed to one item at a time, and the system cannot collect user feedback on multiple items simultaneously. Therefore, only pointwise modeling solutions can be adopted, focusing solely on modeling the likelihood of clicks or conversions for items by users to learn user-item preferences, without the ability to capture the ranking information among different items directly. However, since user-side information is often much more abundant than item-side information, the model can quickly learn the differences in user intrinsic tendencies, which are independent of the items they are exposed to. This can cause these intrinsic tendencies to become a shortcut bias for the model, leading to insufficient mining of the most concerned user-item preferences. To solve this challenge, we introduce the Breaker model. Breaker integrates an auxiliary task of user representation clustering with a multi-tower structure for cluster-specific preference modeling. By clustering user representations, we ensure that users within each cluster exhibit similar characteristics, which increases the complexity of the pointwise recommendation task on the user side. This forces the multi-tower structure with cluster-driven parameter learning to better model user-item preferences, ultimately eliminating shortcut biases related to user intrinsic tendencies. In terms of training, we propose a delayed parameter update mechanism to enhance training stability and convergence, enabling end-to-end joint training of the auxiliary clustering and classification tasks. Both offline and online experiments demonstrate that our method surpasses the baselines. It has already been deployed and is actively serving tens of millions of users daily on Meituan, one of the most popular e-commerce platforms for services.",OpenAlex,https://openalex.org/W4409149241,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709387,,https://doi.org/10.1145/3690624.3709387,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3690624.3709388,KDD,conference,2025,Applied Data Science Track,MentorPDM: Learning Data-Driven Curriculum for Multi-Modal Predictive Maintenance.,Shuaicheng Zhang; Tuo Wang; Stephen Adams; Sanmitra Bhattacharya; Sunil Reddy Tiyyagura; Edward Bowen; Balaji Veeramani; Dawei Zhou,"Predictive Maintenance (PDM) systems are essential for preemptive monitoring of sensor signals to detect potential machine component failures in industrial assets such as bearings in rotating machinery. Existing PDM systems face two primary challenges: 1) Irregular Signal Acquisition, where data collection from the sensors is intermittent, and 2) Signal Heterogeneity, where the full spectrum of sensor modalities is not effectively integrated. To address these challenges, we propose a Curriculum Learning Framework for Multi-Modal Predictive Maintenance - MentorPDM. MentorPDM consists of 1) a graph-augmented pretraining module that captures intrinsic and structured temporal correlations across time segments via a temporal contrastive learning objective and 2) a bi-level curriculum learning module that captures task complexities for weighing the importance of signal modalities and samples via modality and sample curricula. Empirical results from MentorPDM show promising performance with better generalizability in PDM tasks compared to existing benchmarks. The efficacy of the MentorPDM model will be further demonstrated in real industry testbeds and platforms.",OpenAlex,https://openalex.org/W4409157901,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3690624.3709388,,https://doi.org/10.1145/3690624.3709388,,DBLP table of contents cross-checked by publisher/DOI links,https://dblp.org/db/conf/kdd/kdd2025-1.html,third_party_crosschecked,crosschecked,final,2026-08-12T09:53:28+00:00
