paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1145/3680528.3687559,SIGGRAPH Asia,conference,2024,main,MotionFix: Text-Driven 3D Human Motion Editing,['Nikos Athanasiou' 'Alpár Cseke' 'Markos Diomataris' 'Michael J. Black' 'Gül Varol'],,,,,,10.1145/3680528.3687559,2408.00712,https://doi.org/10.1145/3680528.3687559,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687560,SIGGRAPH Asia,conference,2024,main,Planar Reflection-Aware Neural Radiance Fields,['Chen Gao' 'Yipeng Wang' 'Changil Kim' 'Jia-Bin Huang' 'Johannes Kopf'],,,,,,10.1145/3680528.3687560,2411.04984,https://doi.org/10.1145/3680528.3687560,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687561,SIGGRAPH Asia,conference,2024,main,Compositional Neural Textures,['Peihan Tu' 'Li-Yi Wei' 'Matthias Zwicker'],,,,,,10.1145/3680528.3687561,2404.12509,https://doi.org/10.1145/3680528.3687561,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687562,SIGGRAPH Asia,conference,2024,main,Dance-to-Music Generation with Encoder-based Textual Inversion,['Sifei Li' 'Weiming Dong' 'Yuxin Zhang' 'Fan Tang' 'Chongyang Ma' 'Oliver Deussen' 'Tong-Yee Lee' 'Changsheng Xu'],"The seamless integration of music with dance movements is essential for communicating the artistic intent of a dance piece. This alignment also significantly improves the immersive quality of gaming experiences and animation productions. Although there has been remarkable advancement in creating high-fidelity music from textual descriptions, current methodologies mainly focus on modulating overall characteristics such as genre and emotional tone. They often overlook the nuanced management of temporal rhythm, which is indispensable in crafting music for dance, since it intricately aligns the musical beats with the dancers’ movements. Recognizing this gap, we propose an encoder-based textual inversion technique to augment text-to-music models with visual control, facilitating personalized music generation. Specifically, we develop dual-path rhythm-genre inversion to effectively integrate the rhythm and genre of a dance motion sequence into the textual space of a text-to-music model. Contrary to traditional textual inversion methods, which directly update text embeddings to reconstruct a single target object, our approach utilizes separate rhythm and genre encoders to obtain text embeddings for two pseudo-words, adapting to the varying rhythms and genres. We collect a new dataset called In-the-wild Dance Videos (InDV) and demonstrate that our approach outperforms state-of-the-art methods across multiple evaluation metrics. Furthermore, our method is able to adapt to changes in tempo and effectively integrates with the inherent text-guided generation capability of the pre-trained model. Our source code and demo videos are available at https://github.com/lsfhuihuiff/Dance-to-music_Siggraph_Asia_2024.",OpenAlex,https://openalex.org/W4404965756,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3680528.3687562,2401.17800,https://doi.org/10.1145/3680528.3687562,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687563,SIGGRAPH Asia,conference,2024,main,DiffH2O: Diffusion-Based Synthesis of Hand-Object Interactions from Textual Descriptions,['Sammy Christen' 'Shreyas Hampali' 'Fadime Sener' 'Edoardo Remelli' 'Tomas Hodan' 'Eric Sauser' 'Shugao Ma' 'Bugra Tekin'],,,,,,10.1145/3680528.3687563,2403.17827,https://doi.org/10.1145/3680528.3687563,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687564,SIGGRAPH Asia,conference,2024,main,Customizing Text-to-Image Diffusion with Object Viewpoint Control,['Nupur Kumari' 'Grace Su' 'Richard Zhang' 'Taesung Park' 'Eli Shechtman' 'Jun-Yan Zhu'],,,,,,10.1145/3680528.3687564,2404.12333,https://doi.org/10.1145/3680528.3687564,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687565,SIGGRAPH Asia,conference,2024,main,World-Grounded Human Motion Recovery via Gravity-View Coordinates,['Zehong Shen' 'Huaijin Pi' 'Yan Xia' 'Zhi Cen' 'Sida Peng' 'Zechen Hu' 'Hujun Bao' 'Ruizhen Hu' 'Xiaowei Zhou'],"We present a novel method for recovering world-grounded human motion from monocular video. The main challenge lies in the ambiguity of defining the world coordinate system, which varies between sequences. Previous approaches attempt to alleviate this issue by predicting relative motion in an autoregressive manner, but are prone to accumulating errors. Instead, we propose estimating human poses in a novel Gravity-View (GV) coordinate system, which is defined by the world gravity and the camera view direction. The proposed GV system is naturally gravity-aligned and uniquely defined for each video frame, largely reducing the ambiguity of learning image-pose mapping. The estimated poses can be transformed back to the world coordinate system using camera rotations, forming a global motion sequence. Additionally, the per-frame estimation avoids error accumulation in the autoregressive methods. Experiments on in-the-wild benchmarks demonstrate that our method recovers more realistic motion in both the camera space and world-grounded settings, outperforming state-of-the-art methods in both accuracy and speed. The code is available at https://zju3dv.github.io/gvhmr/.",OpenAlex,https://openalex.org/W4403624672,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3680528.3687565,2409.06662,https://doi.org/10.1145/3680528.3687565,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687566,SIGGRAPH Asia,conference,2024,main,Neural Product Importance Sampling via Warp Composition,['Joey Litalien' 'Miloš Hašan' 'Fujun Luan' 'Krishna Mullia' 'Iliyan Georgiev'],"Achieving high efficiency in modern photorealistic rendering hinges on using Monte Carlo sampling distributions that closely approximate the illumination integral estimated for every pixel. Samples are typically generated from a set of simple distributions, each targeting a different factor in the integrand, which are combined via multiple importance sampling. The resulting mixture distribution can be far from the actual product of all factors, leading to sub-optimal variance even for direct-illumination estimation. We present a learning-based method that uses normalizing flows to efficiently importance sample illumination product integrals, e.g., the product of environment lighting and material terms. Our sampler composes a flow head warp with an emitter tail warp. The small conditional head warp is represented by a neural spline flow, while the large unconditional tail is discretized per environment map and its evaluation is instant. If the conditioning is low-dimensional, the head warp can be also discretized to achieve even better performance. We demonstrate variance reduction over prior methods on a range of applications comprising complex geometry, materials and illumination.",OpenAlex,https://openalex.org/W4403321952,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3680528.3687566,2409.18974,https://doi.org/10.1145/3680528.3687566,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687567,SIGGRAPH Asia,conference,2024,main,SRIF: Semantic Shape Registration Empowered by Diffusion-based Image Morphing and Flow Estimation,['Mingze Sun' 'Chen Guo' 'Puhua Jiang' 'Shiwei Mao' 'Yurun Chen' 'Ruqi Huang'],,,,,,10.1145/3680528.3687567,2409.11682,https://doi.org/10.1145/3680528.3687567,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687568,SIGGRAPH Asia,conference,2024,main,Filtering-Based Reconstruction for Gradient-Domain Rendering,['Difei Yan' 'Shaokun Zheng' 'Ling-Qi Yan' 'Kun Xu'],,,,,,10.1145/3680528.3687568,,https://doi.org/10.1145/3680528.3687568,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687569,SIGGRAPH Asia,conference,2024,main,GauWN: Gaussian-smoothed Winding Number and its Derivatives,['Haoran Sun' 'Jingkai Wang' 'Hujun Bao' 'Jin Huang'],,,,,,10.1145/3680528.3687569,,https://doi.org/10.1145/3680528.3687569,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687570,SIGGRAPH Asia,conference,2024,main,SD-πXL: Generating Low-Resolution Quantized Imagery via Score Distillation,['Alexandre Binninger' 'Olga Sorkine-Hornung'],"Low-resolution quantized imagery, such as pixel art, is seeing a revival in modern applications ranging from video game graphics to digital design and fabrication, where creativity is often bound by a limited palette of elemental units. Despite their growing popularity, the automated generation of quantized images from raw inputs remains a significant challenge, often necessitating intensive manual input. We introduce SD-$\pi$XL, an approach for producing quantized images that employs score distillation sampling in conjunction with a differentiable image generator. Our method enables users to input a prompt and optionally an image for spatial conditioning, set any desired output size $H \times W$, and choose a palette of $n$ colors or elements. Each color corresponds to a distinct class for our generator, which operates on an $H \times W \times n$ tensor. We adopt a softmax approach, computing a convex sum of elements, thus rendering the process differentiable and amenable to backpropagation. We show that employing Gumbel-softmax reparameterization allows for crisp pixel art effects. Unique to our method is the ability to transform input images into low-resolution, quantized versions while retaining their key semantic features. Our experiments validate SD-$\pi$XL's performance in creating visually pleasing and faithful representations, consistently outperforming the current state-of-the-art. Furthermore, we showcase SD-$\pi$XL's practical utility in fabrication through its applications in interlocking brick mosaic, beading and embroidery design.",OpenAlex,https://openalex.org/W4403344712,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3680528.3687570,2410.06236,https://doi.org/10.1145/3680528.3687570,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687571,SIGGRAPH Asia,conference,2024,main,TALK-Act: Enhance Textural-Awareness for 2D Speaking Avatar Reenactment with Diffusion Model,['Jiazhi Guan' 'Quanwei Yang' 'Kaisiyuan Wang' 'Hang Zhou' 'Shengyi He' 'Zhiliang Xu' 'Haocheng Feng' 'Errui Ding' 'Jingdong Wang' 'Hongtao Xie' 'Youjian Zhao' 'Ziwei Liu'],,,,,,10.1145/3680528.3687571,2410.10696,https://doi.org/10.1145/3680528.3687571,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3680528.3687572,SIGGRAPH Asia,conference,2024,main,Reconstructing translucent thin objects from photos,"['Xi Deng' 'Lifan Wu' 'Bruce Walter' 'Ravi Ramamoorthi' ""Eugene d'Eon"" 'Steve Marschner' 'Andrea Weidlich']",,,,,,10.1145/3680528.3687572,,https://doi.org/10.1145/3680528.3687572,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH Asia official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPHAsia2024,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
