paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1145/3588432.3591482,SIGGRAPH,conference,2023,main,Relighting Neural Radiance Fields with Shadow and Highlight Hints,['Chong Zeng' 'Guojun Chen' 'Yue Dong' 'Pieter Peers' 'Hongzhi Wu' 'Xin Tong'],"This paper presents a novel neural implicit radiance representation for free viewpoint relighting from a small set of unstructured photographs of an object lit by a moving point light source different from the view position. We express the shape as a signed distance function modeled by a multi layer perceptron. In contrast to prior relightable implicit neural representations, we do not disentangle the different light transport components, but model both the local and global light transport at each point by a second multi layer perceptron that, in addition, to density features, the current position, the normal (from the signed distance function), view direction, and light position, also takes shadow and highlight hints to aid the network in modeling the corresponding high frequency light transport effects. These hints are provided as a suggestion, and we leave it up to the network to decide how to incorporate these in the final relit result. We demonstrate and validate our neural implicit representation on synthetic and real scenes exhibiting a wide variety of shapes, material properties, and global illumination light transport.",OpenAlex,https://openalex.org/W4385535679,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591482,2308.13404,https://doi.org/10.1145/3588432.3591482,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591483,SIGGRAPH,conference,2023,main,DE-NeRF: DEcoupled Neural Radiance Fields for View-Consistent Appearance Editing and High-Frequency Environmental Relighting,['Tong Wu' 'Jia-Mu Sun' 'Yu-Kun Lai' 'Lin Gao'],"Neural Radiance Fields (NeRF) have shown promising results in novel view synthesis. While achieving state-of-the-art rendering results, NeRF usually encodes all properties related to geometry and appearance of the scene together into several MLP (Multi-Layer Perceptron) networks, which hinders downstream manipulation of geometry, appearance and illumination. Recently researchers made attempts to edit geometry, appearance and lighting for NeRF. However, they fail to render view-consistent results after editing the appearance of the input scene. Moreover, high-frequency environmental relighting is also beyond their capability as lighting is modeled as Spherical Gaussian (SG) and Spherical Harmonic (SH) functions or a low-resolution environment map. To solve the above problems, we propose DE-NeRF to decouple view-independent appearance and view-dependent appearance in the scene with a hybrid lighting representation. Specifically, we first train a signed distance function to reconstruct an explicit mesh for the input scene. Then a decoupled NeRF learns to attach view-independent appearance to the reconstructed mesh by defining learnable disentangled features representing geometry and view-independent appearance on its vertices. For lighting, we approximate it with an explicit learnable environment map and an implicit lighting network to support both low-frequency and high-frequency relighting. By modifying the view-independent appearance, rendered results are consistent across different viewpoints. Our method also supports high-frequency environmental relighting by replacing the explicit environment map with a novel one and fitting the implicit lighting network to the novel environment map. Experiments show that our method achieves better editing and relighting performance both quantitatively and qualitatively compared to previous methods.",OpenAlex,https://openalex.org/W4385526959,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591483,,https://doi.org/10.1145/3588432.3591483,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591484,SIGGRAPH,conference,2023,main,NeRF-Texture: Texture Synthesis with Neural Radiance Fields,['Yi-Hua Huang' 'Yan-Pei Cao' 'Yu-Kun Lai' 'Ying Shan' 'Lin Gao'],"Texture synthesis is a fundamental problem in computer graphics that would benefit various applications. Existing methods are effective in handling 2D image textures. In contrast, many real-world textures contain meso-structure in the 3D geometry space, such as grass, leaves, and fabrics, which cannot be effectively modeled using only 2D image textures. We propose a novel texture synthesis method with Neural Radiance Fields (NeRF) to capture and synthesize textures from given multi-view images. In the proposed NeRF texture representation, a scene with fine geometric details is disentangled into the meso-structure textures and the underlying base shape. This allows textures with meso-structure to be effectively learned as latent features situated on the base shape, which are fed into a NeRF decoder trained simultaneously to represent the rich view-dependent appearance. Using this implicit representation, we can synthesize NeRF-based textures through patch matching of latent features. However, inconsistencies between the metrics of the reconstructed content space and the latent feature space may compromise the synthesis quality. To enhance matching performance, we further regularize the distribution of latent features by incorporating a clustering constraint. Experimental results and evaluations demonstrate the effectiveness of our approach.",OpenAlex,https://openalex.org/W4385532415,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591484,,https://doi.org/10.1145/3588432.3591484,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591485,SIGGRAPH,conference,2023,main,Adaptive Local Basis Functions for Shape Completion,['Hui Ying' 'Tianjia Shao' 'He Wang' 'Yin Yang' 'Kun Zhou'],"In this paper, we focus on the task of 3D shape completion from partial point clouds using deep implicit functions. Existing methods seek to use voxelized basis functions or the ones from a certain family of functions (e.g., Gaussians), which leads to high computational costs or limited shape expressivity. On the contrary, our method employs adaptive local basis functions, which are learned end-to-end and not restricted in certain forms. Based on those basis functions, a local-to-local shape completion framework is presented. Our algorithm learns sparse parameterization with a small number of basis functions while preserving local geometric details during completion. Quantitative and qualitative experiments demonstrate that our method outperforms the state-of-the-art methods in shape completion, detail preservation, generalization to unseen geometries, and computational cost. Code and data for this paper are at https://github.com/yinghdb/Adaptive-Local-Basis-Functions.",OpenAlex,https://openalex.org/W4385536919,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591485,2307.08348,https://doi.org/10.1145/3588432.3591485,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591486,SIGGRAPH,conference,2023,main,Microfacet Theory for Non-Uniform Heightfields,"[""Eugene d'Eon"" 'Benedikt Bitterli' 'Andrea Weidlich' 'Tizian Zeltner']","We propose new methods for combining NDFs in microfacet theory, enabling a wider range of surface statistics. The new BSDFs that follow allow for independent adjustment of appearance at grazing angles, and can’t be represented by linear blends of single-NDF BSDFs. We derive importance sampling for a symmetric operator that blends NDFs uniformly, and introduce a new asymmetric operator that supports NDF variation with elevation. We also extend Smith’s model to support piecewise-constant NDF and material variations with elevation, and demonstrate accuracy via Monte Carlo simulations.",OpenAlex,https://openalex.org/W4385610429,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591486,,https://doi.org/10.1145/3588432.3591486,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591487,SIGGRAPH,conference,2023,main,PMP: Learning to Physically Interact with Environments using Part-wise Motion Priors,['Jinseok Bae' 'Jungdam Won' 'Donggeun Lim' 'Cheol-Hui Min' 'Young Min Kim'],"We present a method to animate a character incorporating multiple part-wise motion priors (PMP). While previous works allow creating realistic articulated motions from reference data, the range of motion is largely limited by the available samples. Especially for the interaction-rich scenarios, it is impractical to attempt acquiring every possible interacting motion, as the combination of physical parameters increases exponentially. The proposed PMP allows us to assemble multiple part skills to animate a character, creating a diverse set of motions with different combinations of existing data. In our pipeline, we can train an agent with a wide range of part-wise priors. Therefore, each body part can obtain a kinematic insight of the style from the motion captures, or at the same time extract dynamics-related information from the additional part-specific simulation. For example, we can first train a general interaction skill, e.g. grasping, only for the dexterous part, and then combine the expert trajectories from the pre-trained agent with the kinematic priors of other limbs. Eventually, our whole-body agent learns a novel physical interaction skill even with the absence of the object trajectories in the reference motion sequence.",OpenAlex,https://openalex.org/W4385527465,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591487,2305.03249,https://doi.org/10.1145/3588432.3591487,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591488,SIGGRAPH,conference,2023,main,High-Order Incremental Potential Contact for Elastodynamic Simulation on Curved Meshes,['Zachary Ferguson' 'Pranav Jain' 'Denis Zorin' 'Teseo Schneider' 'Daniele Panozzo'],"High-order bases provide major advantages over linear ones in terms of efficiency, as they provide (for the same physical model) higher accuracy for the same running time, and reliability, as they are less affected by locking artifacts and mesh quality. Thus, we introduce a high-order finite element (FE) formulation (high-order bases) for elastodynamic simulation on high-order (curved) meshes with contact handling based on the recently proposed Incremental Potential Contact (IPC) model.",OpenAlex,https://openalex.org/W4378772226,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591488,2205.13727,https://doi.org/10.1145/3588432.3591488,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591489,SIGGRAPH,conference,2023,main,Multi-Layer Thick Shells,['Yunuo Chen' 'Tianyi Xie' 'Cem Yuksel' 'Danny Kaufman' 'Yin Yang' 'Chenfanfu Jiang' 'Minchen Li'],"We present a novel mesh-based method for simulating the intricate dynamics of (potentially multi-layered) continuum thick shells. In order to accurately represent the constitutive behavior of structural responses in the thickness direction, we develop a dual-quadrature prism finite element formulation that is free from shear locking and naturally incorporates three-dimensional elastoplastic and viscoelastic constitutive models. Additionally, we introduce a simple and effective technique for coupling a high-resolution membrane layer on top of the thick shell to enable complementary high-frequency deformation modes that generate realistic wrinkles. With our novelly designed sparse basis vectors for the high-frequency deformations, the constrained Lagrangian mechanics problem is expressed as an unconstrained optimization and then efficiently solved by a custom alternating minimization technique. Our method opens up a new possibility for fast, high-quality, and thickness-aware simulations of leather garments, pillows, mats, metal boards, and potentially a variety of other thick structures.",OpenAlex,https://openalex.org/W4385536317,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591489,,https://doi.org/10.1145/3588432.3591489,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591490,SIGGRAPH,conference,2023,main,PoseVocab: Learning Joint-structured Pose Embeddings for Human Avatar Modeling,['Zhe Li' 'Zerong Zheng' 'Yuxiao Liu' 'Boyao Zhou' 'Yebin Liu'],"Creating pose-driven human avatars is about modeling the mapping from the low-frequency driving pose to high-frequency dynamic human appearances, so an effective pose encoding method that can encode high-fidelity human details is essential to human avatar modeling. To this end, we present PoseVocab, a novel pose encoding method that encourages the network to discover the optimal pose embeddings for learning the dynamic human appearance. Given multi-view RGB videos of a character, PoseVocab constructs key poses and latent embeddings based on the training poses. To achieve pose generalization and temporal consistency, we sample key rotations in so(3) of each joint rather than the global pose vectors, and assign a pose embedding to each sampled key rotation. These joint-structured pose embeddings not only encode the dynamic appearances under different key poses, but also factorize the global pose embedding into joint-structured ones to better learn the appearance variation related to the motion of each joint. To improve the representation ability of the pose embedding while maintaining memory efficiency, we introduce feature lines, a compact yet effective 3D representation, to model more fine-grained details of human appearances. Furthermore, given a query pose and a spatial position, a hierarchical query strategy is introduced to interpolate pose embeddings and acquire the conditional pose feature for dynamic human synthesis. Overall, PoseVocab effectively encodes the dynamic details of human appearance and enables realistic and generalized animation under novel poses. Experiments show that our method outperforms other state-of-the-art baselines both qualitatively and quantitatively in terms of synthesis quality. Code is available at https://github.com/lizhe00/PoseVocab.",OpenAlex,https://openalex.org/W4376657587,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591490,2304.13006,https://doi.org/10.1145/3588432.3591490,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3588432.3591491,SIGGRAPH,conference,2023,main,Simulation and Retargeting of Complex Multi-Character Interactions,['Yunbo Zhang' 'Deepak Gopinath' 'Yuting Ye' 'Jessica Hodgins' 'Greg Turk' 'Jungdam Won'],"We present a method for reproducing complex multi-character interactions for physically simulated humanoid characters using deep reinforcement learning. Our method learns control policies for characters that imitate not only individual motions, but also the interactions between characters, while maintaining balance and matching the complexity of reference data. Our approach uses a novel reward formulation based on an interaction graph that measures distances between pairs of interaction landmarks. This reward encourages control policies to efficiently imitate the character’s motion while preserving the spatial relationships of the interactions in the reference motion. We evaluate our method on a variety of activities, from simple interactions such as a high-five greeting to more complex interactions such as gymnastic exercises, Salsa dancing, and box carrying and throwing. This approach can be used to “clean-up” existing motion capture data to produce physically plausible interactions or to retarget motion to new characters with different sizes, kinematics or morphologies while maintaining the interactions in the original data.",OpenAlex,https://openalex.org/W4385526363,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1145/3588432.3591491,2305.20041,https://doi.org/10.1145/3588432.3591491,,Hugging Face ai-conferences metadata cross-checked by SIGGRAPH official links,https://huggingface.co/datasets/ai-conferences/SIGGRAPH2023,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
