paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1007/s11263-023-01980-x,IJCV,journal,2024,"volume 132, issue 10",Correction to: Deep Unpaired Blind Image Super-Resolution Using Self-supervised Learning and Exemplar Distillation,Jiangxin Dong; Haoran Bai; Jinhui Tang; Jinshan Pan,,,,,,10.1007/s11263-023-01980-x,,https://doi.org/10.1007/s11263-023-01980-x,https://link.springer.com/content/pdf/10.1007/s11263-023-01980-x.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-01987-y,IJCV,journal,2024,"volume 132, issue 10",HCLR-Net: Hybrid Contrastive Learning Regularization with Locally Randomized Perturbation for Underwater Image Enhancement,Jingchun Zhou; Jiaming Sun; Chongyi Li; Qiuping Jiang; Man Zhou; Kin-Man Lam; Weishi Zhang; Xianping Fu,"Underwater image enhancement presents a significant challenge due to the complex and diverse underwater environments that result in severe degradation phenomena such as light absorption, scattering, and color distortion. More importantly, obtaining paired training data for these scenarios is a challenging task, which further hinders the generalization performance of enhancement models. To address these issues, we propose a novel approach, the Hybrid Contrastive Learning Regularization (HCLR-Net). Our method is built upon a distinctive hybrid contrastive learning regularization strategy that incorporates a unique methodology for constructing negative samples. This approach enables the network to develop a more robust sample distribution. Notably, we utilize non-paired data for both positive and negative samples, with negative samples are innovatively reconstructed using local patch perturbations. This strategy overcomes the constraints of relying solely on paired data, boosting the model’s potential for generalization. The HCLR-Net also incorporates an Adaptive Hybrid Attention module and a Detail Repair Branch for effective feature extraction and texture detail restoration, respectively. Comprehensive experiments demonstrate the superiority of our method, which shows substantial improvements over several state-of-the-art methods in terms of quantitative metrics, significantly enhances the visual quality of underwater images, establishing its innovative and practical applicability. Our code is available at: https://github.com/zhoujingchun03/HCLR-Net .",OpenAlex,https://openalex.org/W4391520444,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1007/s11263-024-01987-y,,https://doi.org/10.1007/s11263-024-01987-y,https://link.springer.com/content/pdf/10.1007/s11263-024-01987-y.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02016-8,IJCV,journal,2024,"volume 132, issue 10",PRCL: Probabilistic Representation Contrastive Learning for Semi-Supervised Semantic Segmentation,Haoyu Xie; Changqi Wang; Jian Zhao; Yang Liu; Jun Dan; Chong Fu; Baigui Sun,,,,,,10.1007/s11263-024-02016-8,,https://doi.org/10.1007/s11263-024-02016-8,https://link.springer.com/content/pdf/10.1007/s11263-024-02016-8.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02037-3,IJCV,journal,2024,"volume 132, issue 10",In Memoriam: Xiaoou Tang,Yasuyuki Matsushita; Svetlana Lazebnik; Jiri Matas,,,,,,10.1007/s11263-024-02037-3,,https://doi.org/10.1007/s11263-024-02037-3,https://link.springer.com/content/pdf/10.1007/s11263-024-02037-3.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02056-0,IJCV,journal,2024,"volume 132, issue 10",GridFormer: Residual Dense Transformer with Grid Structure for Image Restoration in Adverse Weather Conditions,Tao Wang; Kaihao Zhang; Ziqian Shao; Wenhan Luo; Bjorn Stenger; Tong Lu; Tae-Kyun Kim; Wei Liu; Hongdong Li,,,,,,10.1007/s11263-024-02056-0,,https://doi.org/10.1007/s11263-024-02056-0,https://link.springer.com/content/pdf/10.1007/s11263-024-02056-0.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02058-y,IJCV,journal,2024,"volume 132, issue 10",Towards Diverse Binary Segmentation via a Simple yet General Gated Network,Xiaoqi Zhao; Youwei Pang; Lihe Zhang; Huchuan Lu; Lei Zhang,,,,,,10.1007/s11263-024-02058-y,,https://doi.org/10.1007/s11263-024-02058-y,https://link.springer.com/content/pdf/10.1007/s11263-024-02058-y.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02059-x,IJCV,journal,2024,"volume 132, issue 10",Efficient High-Quality Vectorized Modeling of Large-Scale Scenes,Xiaojun Xiang; Hanqing Jiang; Yihao Yu; Donghui Shen; Jianan Zhen; Hujun Bao; Xiaowei Zhou; Guofeng Zhang,,,,,,10.1007/s11263-024-02059-x,,https://doi.org/10.1007/s11263-024-02059-x,https://link.springer.com/content/pdf/10.1007/s11263-024-02059-x.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02072-0,IJCV,journal,2024,"volume 132, issue 10",SUBTLE: An Unsupervised Platform with Temporal Link Embedding that Maps Animal Behavior,Jea Kwon; Sunpil Kim; Dong-Kyum Kim; Jinhyeong Joo; SoHyung Kim; Meeyoung Cha; C. Justin Lee,"Abstract While huge strides have recently been made in language-based machine learning, the ability of artificial systems to comprehend the sequences that comprise animal behavior has been lagging behind. In contrast, humans instinctively recognize behaviors by finding similarities in behavioral sequences. Here, we develop an unsupervised behavior-mapping framework, SUBTLE (spectrogram-UMAP-based temporal-link embedding), to capture comparable behavioral repertoires from 3D action skeletons. To find the best embedding method, we devise a temporal proximity index (TPI) as a new metric to gauge temporal representation in the behavioral embedding space. The method achieves the best TPI score compared to current embedding strategies. Its spectrogram-based UMAP clustering not only identifies subtle inter-group differences but also matches human-annotated labels. SUBTLE framework automates the tasks of both identifying behavioral repertoires like walking, grooming, standing, and rearing, and profiling individual behavior signatures like subtle inter-group differences by age. SUBTLE highlights the importance of temporal representation in the behavioral embedding space for human-like behavioral categorization.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1007/s11263-024-02072-0,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1007/s11263-024-02072-0,,https://doi.org/10.1007/s11263-024-02072-0,https://link.springer.com/content/pdf/10.1007/s11263-024-02072-0.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02074-y,IJCV,journal,2024,"volume 132, issue 10",3D-MuPPET: 3D Multi-Pigeon Pose Estimation and Tracking,Urs Waldmann; Alex Hoi Hang Chan; Hemal Naik; Máté Nagy; Iain D. Couzin; Oliver Deussen; Bastian Goldluecke; Fumihiro Kano,"Abstract Markerless methods for animal posture tracking have been rapidly developing recently, but frameworks and benchmarks for tracking large animal groups in 3D are still lacking. To overcome this gap in the literature, we present 3D-MuPPET, a framework to estimate and track 3D poses of up to 10 pigeons at interactive speed using multiple camera views. We train a pose estimator to infer 2D keypoints and bounding boxes of multiple pigeons, then triangulate the keypoints to 3D. For identity matching of individuals in all views, we first dynamically match 2D detections to global identities in the first frame, then use a 2D tracker to maintain IDs across views in subsequent frames. We achieve comparable accuracy to a state of the art 3D pose estimator in terms of median error and Percentage of Correct Keypoints. Additionally, we benchmark the inference speed of 3D-MuPPET, with up to 9.45 fps in 2D and 1.89 fps in 3D, and perform quantitative tracking evaluation, which yields encouraging results. Finally, we showcase two novel applications for 3D-MuPPET. First, we train a model with data of single pigeons and achieve comparable results in 2D and 3D posture estimation for up to 5 pigeons. Second, we show that 3D-MuPPET also works in outdoors without additional annotations from natural environments. Both use cases simplify the domain shift to new species and environments, largely reducing annotation effort needed for 3D posture tracking. To the best of our knowledge we are the first to present a framework for 2D/3D animal posture and trajectory tracking that works in both indoor and outdoor environments for up to 10 individuals. We hope that the framework can open up new opportunities in studying animal collective behaviour and encourages further developments in 3D multi-animal posture tracking.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1007/s11263-024-02074-y,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1007/s11263-024-02074-y,,https://doi.org/10.1007/s11263-024-02074-y,https://link.springer.com/content/pdf/10.1007/s11263-024-02074-y.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1007/s11263-024-02077-9,IJCV,journal,2024,"volume 132, issue 10",Physics-Driven Spectrum-Consistent Federated Learning for Palmprint Verification,Ziyuan Yang; Andrew Beng Jin Teoh; Bob Zhang; Lu Leng; Yi Zhang,,,,,,10.1007/s11263-024-02077-9,,https://doi.org/10.1007/s11263-024-02077-9,https://link.springer.com/content/pdf/10.1007/s11263-024-02077-9.pdf,Crossref publisher-registered metadata (ISSN 0920-5691),https://link.springer.com/journal/11263,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
