paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
18-073,JMLR,journal,2025,volume 26,Optimal Functional Bilinear Regression with Two-dimensional Functional Covariates via Reproducing Kernel Hilbert Space,Dan Yang; Jianlong Shao; Haipeng Shen; Hongtu Zhu,"Traditional functional linear regression usually takes a one-dimensional functional predictor as input and estimates the continuous coefficient function. Modern applications often generate two-dimensional covariates, which become matrices when observed at grid points. To avoid the inefficiency of the classical method involving estimation of a two-dimensional coefficient function, we propose a functional bilinear regression model, and introduce an innovative three-term penalty to impose roughness penalty in the estimation. The proposed estimator exhibits minimax optimal property for prediction under the framework of reproducing kernel Hilbert space. An iterative generalized cross-validation approach is developed to choose tuning parameters, which significantly improves the computational efficiency over the traditional cross-validation approach. The statistical and computational advantages of the proposed method over existing methods are further demonstrated via simulated experiments, the Canadian weather data, and a biochemical long-range infrared light detection and ranging data.",JMLR official paper page,https://www.jmlr.org/papers/v26/18-073.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/18-073.html,https://www.jmlr.org/papers/volume26/18-073/18-073.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
19-159,JMLR,journal,2025,volume 26,Rank-one Convexification for Sparse Regression,Alper Atamturk; Andres Gomez,"Sparse regression models are increasingly prevalent due to their ease of interpretability and superior out-of-sample performance. However, the exact model of sparse regression with an $\ell_0$-constraint restricting the support of the estimators is a challenging (\NP-hard) non-convex optimization problem. In this paper, we derive new strong convex relaxations for sparse regression. These relaxations are based on the convex-hull formulations for rank-one quadratic terms with indicator variables. The new relaxations can be formulated as semidefinite optimization problems in an extended space and are stronger and more general than the state-of-the-art formulations, including the perspective reformulation and formulations with the reverse Huber penalty and the minimax concave penalty functions. Furthermore, the proposed rank-one strengthening can be interpreted as a non-separable, non-convex, unbiased sparsity-inducing regularizer, which dynamically adjusts its penalty according to the shape of the error function without inducing bias for the sparse solutions. In our computational experiments with benchmark datasets, the proposed conic formulations are solved within seconds and result in near-optimal solutions (with 0.4\% optimality gap on average) for non-convex $\ell_0$-problems. Moreover, the resulting estimators also outperform alternative convex approaches, such as lasso and elastic net regression, from a statistical perspective, achieving high prediction accuracy and good interpretability.",JMLR official paper page,https://www.jmlr.org/papers/v26/19-159.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/19-159.html,https://www.jmlr.org/papers/volume26/19-159/19-159.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
20-1396,JMLR,journal,2025,volume 26,Almost Sure Convergence of Dropout Algorithms for Neural Networks,Albert Senen--Cerda; Jaron Sanders,"We investigate the convergence and convergence rate of stochastic training algorithms for Neural Networks (NNs) that have been inspired by Dropout (Hinton et al., 2012). With the goal of avoiding overfitting during training in NNs, dropout algorithms consist in practice of multiplying the weight matrices of a NN componentwise by independently drawn random matrices with $\{0, 1\}$-valued entries during each iteration of Stochastic Gradient Descent (SGD). This paper presents a probability theoretical proof that for fully-connected NNs with differentiable, polynomially bounded activation functions, if we project the weights onto a compact set when using a dropout algorithm, then the weights of the NN converge to a unique stationary point of a projected system of Ordinary Differential Equations (ODEs). After this general convergence guarantee, we go on to investigate the convergence rate of dropout. Firstly, we obtain generic sample complexity bounds for finding $\epsilon$-stationary points of smooth nonconvex functions using SGD with dropout that explicitly depend on the dropout probability. Secondly, we obtain an upper bound on the rate of convergence of Gradient Descent (GD) on the limiting ODEs of dropout algorithms for NNs with the shape of an arborescence of arbitrary depth and with linear activation functions. The latter bound shows that for an algorithm such as Dropout or Dropconnect (Wan et al., 2013), the convergence rate can be impaired exponentially by the depth of the arborescence. In contrast, we experimentally observe no such dependence for wide NNs with just a few dropout layers. We also provide a heuristic argument for this observation. Our results suggest that there is a change of scale of the effect of the dropout probability in the convergence rate that depends on the relative size of the width of the NN compared to its depth.",JMLR official paper page,https://www.jmlr.org/papers/v26/20-1396.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/20-1396.html,https://www.jmlr.org/papers/volume26/20-1396/20-1396.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
20-593,JMLR,journal,2025,volume 26,Kernel-based L_2-Boosting with Structure Constraints,Yao Wang; Xin Guo; Shao-Bo Lin,"Developing efficient kernel methods for regression is popular in the past two decades. In this paper, utilizing boosting on kernel-based weak learners, we propose a novel kernel-based learning algorithm called kernel-based re-scaled boosting with truncation, dubbed as KReBooT. The proposed KReBooT benefits in controlling the structure and producing sparse estimators, and is near overfitting resistant. We conduct both theoretical analysis and numerical simulations to illustrate the excellent performance of KReBooT. Theoretically, we prove that KReBooT can achieve the optimal numerical convergence rate for nonlinear approximation. Furthermore, using a variant of Talagrand's concentration inequality, we provide fast learning rates for KReBooT, which is a new record of boosting-type algorithms. Numerically, we carry out several simulations to show the promising performance of KReBooT in terms of its good generalization, near over-fitting resistance and structure constraints.",JMLR official paper page,https://www.jmlr.org/papers/v26/20-593.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/20-593.html,https://www.jmlr.org/papers/volume26/20-593/20-593.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0039,JMLR,journal,2025,volume 26,Manifold Fitting under Unbounded Noise,Zhigang Yao; Yuqing Xia,"In the field of non-Euclidean statistical analysis, a trend has emerged in recent times, of attempts to recover a low dimensional structure, namely a manifold, underlying the high dimensional data. Recovering the manifold requires the noise to be of a certain concentration and prevailing methods address this requirement by constructing an approximated manifold that is based on the tangent space estimation at each sample point. Although theoretical convergence for these methods is guaranteed, the samples are either noiseless or the noise is bounded. However, if the noise is unbounded, as is commonplace, the tangent space estimation at the noisy samples will be blurred – an undesirable outcome since fitting a manifold from the blurred tangent space might be more greatly compromised in terms of its accuracy. In this paper, we introduce a new manifold-fitting method, whereby the output manifold is constructed by directly estimating the tangent spaces at the projected points on the latent manifold, rather than at the sample points, thus reducing the error caused by the noise. Assuming the noise is unbounded, our new method has a high probability of achieving theoretical convergence, in terms of the upper bound of the distance between the estimated and latent manifold. The smoothness of the estimated manifold is also evaluated by bounding the supremum of twice difference above. Numerical simulations are conducted as part of this new method to help validate our theoretical findings and demonstrate the advantages of our method over other relevant manifold fitting methods. Finally, our method is applied to real data examples.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0039.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0039.html,https://www.jmlr.org/papers/volume26/21-0039/21-0039.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0068,JMLR,journal,2025,volume 26,Towards Optimal Branching of Linear and Semidefinite Relaxations for Neural Network Robustness Certification,Brendon G. Anderson; Ziye Ma; Jingqi Li; Somayeh Sojoudi,"In this paper, we study certifying the robustness of ReLU neural networks against adversarial input perturbations. To diminish the relaxation error suffered by the popular linear programming (LP) and semidefinite programming (SDP) certification methods, we take a branch-and-bound approach to propose partitioning the input uncertainty set and solving the relaxations on each part separately. We show that this approach reduces relaxation error, and that the error is eliminated entirely upon performing an LP relaxation with a partition intelligently designed to exploit the nature of the ReLU activations. To scale this approach to large networks, we consider using a coarser partition whereby the number of parts in the partition is reduced. We prove that computing such a coarse partition that directly minimizes the LP relaxation error is NP-hard. By instead minimizing the worst-case LP relaxation error, we develop a closed-form branching scheme in the single-hidden layer case. We extend the analysis to the SDP, where the feasible set geometry is exploited to design a branching scheme that minimizes the worst-case SDP relaxation error. Experiments on MNIST, CIFAR-10, and Wisconsin breast cancer diagnosis classifiers demonstrate significant increases in the percentages of test samples certified. By independently increasing the input size and the number of layers, we empirically illustrate under which regimes the branched LP and branched SDP are best applied. Finally, we extend our LP branching method into a multi-layer branching heuristic, which attains comparable performance to prior state-of-the-art heuristics on large-scale, deep neural network certification benchmarks.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0068.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0068.html,https://www.jmlr.org/papers/volume26/21-0068/21-0068.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0095,JMLR,journal,2025,volume 26,Algorithms for ridge estimation with convergence guarantees,Wanli Qiao; Wolfgang Polonik,"The extraction of filamentary structure from a point cloud is discussed. The filaments are modeled as ridge lines or higher dimensional ridges of an underlying density. We propose two novel algorithms, and provide theoretical guarantees for their convergences, by which we mean that the algorithms can asymptotically recover the full ridge set. We consider the new algorithms as alternatives to the Subspace Constrained Mean Shift (SCMS) algorithm for which no such theoretical guarantees are known.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0095.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0095.html,https://www.jmlr.org/papers/volume26/21-0095/21-0095.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0241,JMLR,journal,2025,volume 26,A Comparative Evaluation of Quantification Methods,Tobias Schumacher; Markus Strohmaier; Florian Lemmerich,"Quantification represents the problem of estimating the distribution of class labels on unseen data. It also represents a growing research field in supervised machine learning, for which a large variety of different algorithms has been proposed in recent years. However, a comprehensive empirical comparison of quantification methods that supports algorithm selection is not available yet. In this work, we close this research gap by conducting a thorough empirical performance comparison of 24 different quantification methods on in total more than 40 datasets, considering binary as well as multiclass quantification settings. We observe that no single algorithm generally outperforms all competitors, but identify a group of methods that perform best in the binary setting, including the threshold selection-based median sweep and TSMax methods, the DyS framework including the HDy method, Forman's mixture model, and Friedman's method. For the multiclass setting, we observe that a different, broad group of algorithms yields good performance, including the HDx method, the generalized probabilistic adjusted count, the readme method, the energy distance minimization method, the EM algorithm for quantification, and Friedman's method. We also find that tuning the underlying classifiers has in most cases only a limited impact on the quantification performance. More generally, we find that the performance on multiclass quantification is inferior to the results obtained in the binary setting. Our results can guide practitioners who intend to apply quantification algorithms and help researchers identify opportunities for future research.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0241.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0241.html,https://www.jmlr.org/papers/volume26/21-0241/21-0241.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0725,JMLR,journal,2025,volume 26,High-Dimensional L2-Boosting: Rate of Convergence,Ye Luo; Martin Spindler; Jannis Kueck,"Boosting is one of the most significant developments in machine learning. This paper studies the rate of convergence of L2-Boosting in a high-dimensional setting under early stopping. We close a gap in the literature and provide the rate of convergence of L2-Boosting in a high-dimensional setting under approximate sparsity and without beta-min condition. We also show that the rate of convergence of the classical L2-Boosting depends on the design matrix described by a sparse eigenvalue condition. To show the latter results, we derive new, improved approximation results for the pure greedy algorithm, based on analyzing the revisiting behavior of L2-Boosting. These results might be of independent interest. Moreover, we introduce so-called ""restricted"" L2-Boosting. The restricted L2-Boosting algorithm sticks to the set of the previously chosen variables, exploits the information contained in these variables first and then only occasionally allows to add new variables to this set. We derive the rate of convergence for restricted L2-Boosting under early stopping which is close to the convergence rate of Lasso in an approximate sparse, high-dimensional setting without beta-min condition. We also introduce feasible rules for early stopping, which can be easily implemented and used in applied work. Finally, we present simulation studies to illustrate the relevance of our theoretical results and to provide insights into the practical aspects of boosting. In these simulation studies, L2-Boosting clearly outperforms Lasso. An empirical illustration and the proofs are contained in the Appendix.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0725.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0725.html,https://www.jmlr.org/papers/volume26/21-0725/21-0725.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
21-0930,JMLR,journal,2025,volume 26,Hierarchical and Stochastic Crystallization Learning: Geometrically Leveraged Nonparametric Regression with Delaunay Triangulation,Jiaqi Gu; Guosheng Yin,"High-dimensionality is known to be the bottleneck for both nonparametric regression and the Delaunay triangulation. To efficiently exploit the advantage of the Delaunay triangulation in utilizing geometry information for nonparametric regression without conducting the Delaunay triangulation for the entire feature space, we develop the crystallization search for the neighbor Delaunay simplices of the target point similar to crystal growth and estimate the conditional expectation function by fitting a local linear model to the data points of the constructed Delaunay simplices. Because the shapes and volumes of Delaunay simplices are adaptive to the density of feature data points, our method selects neighbor data points more uniformly in all directions in comparison with Euclidean distance based methods and thus it is more robust to the local geometric structure of the data. We further develop the stochastic approach to hyperparameter selection and the hierarchical crystallization learning under multimodal feature data densities, where an approximate global Delaunay triangulation is obtained by first triangulating the local centers and then constructing local Delaunay triangulations in parallel. We study the asymptotic properties of our method and conduct numerical experiments on both synthetic and real data to demonstrate the advantages of our method over the existing ones.",JMLR official paper page,https://www.jmlr.org/papers/v26/21-0930.html,official,2026-08-13T09:37:42+00:00,,,https://www.jmlr.org/papers/v26/21-0930.html,https://www.jmlr.org/papers/volume26/21-0930/21-0930.pdf,JMLR,https://www.jmlr.org/papers/v26/,official,verified_official,final,2026-08-12T09:53:28+00:00
