paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1109/tkde.2024.3422328,TKDE,journal,2025,continuous publication,On Regularization for Explaining Graph Neural Networks: An Information Theory Perspective,Junfeng Fang; Guibin Zhang; Kun Wang; Wenjie Du; Yifan Duan; Yuankai Wu; Roger Zimmermann; Xiaowen Chu; Yuxuan Liang,"This work studies the explainability of graph neural networks (GNNs), which is important for the credibility of GNNs in practical usage. Existing mask-based explanation methods mostly follow the two-phase paradigm to interpret a prediction:feature attributionandselection. However, another important component — regularization, which is crucial to facilitate the above paradigm-has been seldom studied. Regularization is pivotal in mask-based methods, serving to refine explanatory subgraphs through constraints imposed on mask values. Hence, in this work, we endevour to explore the role of regularization in GNNs explainability. As theoretical groundwork inspired by Graph Information Bottleneck (GIB), we first introduce an innovative principle, GIB tailored for explainability, termed GIBE. GIBE serves to consolidate existing mask-based explanation methods by establishing a unified optimization objective for both feature attribution and selection processes. Then, based on GIBE, our main findings can be summarized as: 1) regularization is essentially pursuing the balance between two phases, 2) its optimal coefficient is proportional to the sparsity of explanations, 3) existing methods imply an implicit regularization effect of stochastic mechanism, and 4) its contradictory effects on two phases are responsible for the out-of-distribution (OOD) issue in post-hoc explainability. Based on these findings, we propose two common optimization methods, which can bolster the performance of the current explanation methods via sparsity-adaptive and OOD-resistant regularization schemes. Extensive empirical studies validate our findings and proposed methods.",OpenAlex,https://openalex.org/W4400229168,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2024.3422328,,https://doi.org/10.1109/tkde.2024.3422328,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2024.3512938,TKDE,journal,2025,continuous publication,Causal Label Enhancement,Xinyuan Liu; Jihua Zhu; Kun Yue; Qinghai Zheng; Zhongyu Li; Zhiqiang Tian; Mingchen Zhu,"Label enhancement (LE) is still a challenging task to mitigate the dilemma of the lack of label distribution. Existing LE work typically focuses on primarily formulating a projection between feature space and label distribution space from discriminative model perspective, which preserves the relevance consistency that the sign of recovered label distribution should be consistent with the logical label. Different from previous algorithms, we formulate this problem from a causal perspective and present a novel LE method via the structured causal model (LESCM). Specifically, the proposed LESCM deliberates establishing the causal graph with assuming that label distribution is a cause of feature and logical label, which naturally satisfies the definition of label distribution learning (LDL). With capturing the underlying causal relationships, we can significantly boost the interpretability and identifiability of label enhancement. Meanwhile, except for the relevance consistency, LESCM are encouraged to sustain the order consistency that assigns higher description degree of the recovered label distribution to the positive labels, as compared with the negative labels. Empirically, sufficient experiments on several label distribution learning data sets validate the effectiveness of LESCM.",OpenAlex,https://openalex.org/W4405179914,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2024.3512938,,https://doi.org/10.1109/tkde.2024.3512938,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3533040,TKDE,journal,2025,continuous publication,Direct Spectral Clustering with New Graph Learning for Better Fitting,Lingyi Kong; Jingjing Xue; Feiping Nie; Xuelong Li,"Traditional spectral clustering methods struggle with scalability and robustness in large datasets due to their reliance on similarity matrices and EigenValue Decomposition. We introduce two innovative models: Rcut-based Coordinate Descent Clustering (R-CDC) and Ncut-based Doubly Stochastic Clustering (N-DSC). These models integrate graph construction and segmentation into a unified process optimized through the coordinate descent method, significantly enhancing clustering efficacy. A novel graph structure enhances robustness against noise and outliers, simplifying the clustering process and improving outcomes across diverse datasets. Our extensive experiments show that these models surpass existing spectral clustering techniques in managing large-scale data and complex structures.",OpenAlex,https://openalex.org/W4406753974,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3533040,,https://doi.org/10.1109/tkde.2025.3533040,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3554028,TKDE,journal,2025,continuous publication,A Survey on Mixture of Experts in Large Language Models,Weilin Cai; Juyong Jiang; Fan Wang; Jing Tang; Sunghun Kim; Jiayi Huang,"Large language models (LLMs) have garnered unprecedented advancements across diverse fields, ranging from natural language processing to computer vision and beyond. The prowess of LLMs is underpinned by their substantial model size, extensive and diverse datasets, and the vast computational power harnessed during training, all of which contribute to the emergent abilities of LLMs (e.g., in-context learning) that are not present in small models. Within this context, the mixture of experts (MoE) has emerged as an effective method for substantially scaling up model capacity with minimal computation overhead, gaining significant attention from academia and industry. Despite its growing prevalence, there lacks a systematic and comprehensive review of the literature on MoE. This survey seeks to bridge that gap, serving as an essential resource for researchers delving into the intricacies of MoE. We first briefly introduce the structure of the MoE layer, followed by proposing a new taxonomy of MoE. Next, we overview the core designs for various MoE models including both algorithmic and systemic aspects, alongside collections of available open-source implementations, hyperparameter configurations and empirical evaluations. Furthermore, we delineate the multifaceted applications of MoE in practice, and outline some potential directions for future research.",OpenAlex,https://openalex.org/W4408858386,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3554028,,https://doi.org/10.1109/tkde.2025.3554028,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3554610,TKDE,journal,2025,continuous publication,GCTN: Graph Competitive Transfer Network for Cross-Domain Multi-Behavior Prediction,Lei Zhang; Wuji Zhang; Likang Wu; Hongke Zhao,"Recently, the multi-behavior information on a specific domain has been successfully exploited by aggregating diverse user behaviors to solve the problems of cold start and data sparsity in recommendations. However, the user behavior information captured from multiple behaviors in a single domain is insufficient. Our study seeks to enhance user behavior prediction by leveraging both multi-behavior information and cross-domain information in a more effective manner. In order to explore the correlations and differences between different behaviors and different domains, we propose a novel competition framework consists of intra-domain competition and inter-domain competition for knowledge learning. Specifically, for intra-domain, a behavior competition mechanism is designed to enable the model to mine users’ interests and behavior patterns effectively. For inter-domain, a domain competition mechanism is designed to perform knowledge transfer and knowledge fusion for overlapping users in different domains. Through the competition mechanisms, our proposedGraph Competitive Transfer Network (GCTN)achieves knowledge transfer between different domains and captures users’ behavior patterns in different contexts. The effectiveness of the GCTN and its competition mechanisms has been validated through sufficient experimental trials onDoubanandAmazondatasets. Compared to baseline methods, GCTN has demonstrated a marked improvement in both$AUC$and$F1$scores.",OpenAlex,https://openalex.org/W4408859168,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3554610,,https://doi.org/10.1109/tkde.2025.3554610,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3554819,TKDE,journal,2025,continuous publication,Decider: A Dual-System Rule-Controllable Decoding Framework for Language Generation,Chen Xu; Tian Lan; Yu Ji; Changlong Yu; Wei Wang; Jun Gao; Qunxi Dong; Kun Qian; Piji Li; Wei Bi; Bin Hu,"Constrained decoding approaches aim to control the meaning or style of text generated by a Pre-trained Language Model (PLM) for various task-specific objectives at inference time. However, these methods often guide plausible continuations by greedily and explicitly selecting targets, which, while fulfilling the task requirements, may overlook the natural patterns of human language generation. In this work, we propose a novel decoding framework,Decider, which enables us to program high-level rules on how we might effectively complete tasks to control a PLM. Differing from previous works, our framework transforms the encouragement of concrete target words into the encouragement of all words that satisfy the high-level rules. Specifically,Decideris a dual system in which a PLM is equipped and controlled by a First-Order Logic (FOL) reasoner to express and evaluate the rules, along with a decision function that merges the outputs from both systems to guide the generation. Experiments on CommonGen and PersonaChat demonstrate thatDecidercan effectively follow given rules to guide a PLM in achieving generation tasks in a more human-like manner.",OpenAlex,https://openalex.org/W4408859133,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3554819,,https://doi.org/10.1109/tkde.2025.3554819,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3555328,TKDE,journal,2025,continuous publication,Ten Challenging Problems in Federated Foundation Models,Tao Fan; Hanlin Gu; Xuemei Cao; Chee Seng Chan; Qian Chen; Yiqiang Chen; Yihui Feng; Yang Gu; Jiaxiang Geng; Bing Luo; Shuoling Liu; Win Kent Ong; Chao Ren; Jiaqi Shao; Chuan Sun; Xiaoli Tang; Hong Xi Tae; Yongxin Tong; Shuyue Wei; Fan Wu; Wei Xi; Mingcong Xu; He Yang; Xin Yang; Jiangpeng Yan; Hao Yu; Han Yu; Teng Zhang; Yifei Zhang; Xiaojin Zhang; Zhenzhe Zheng; Lixin Fan; Qiang Yang,"Federated Foundation Models (FedFMs) represent a distributed learning paradigm that fuses general competences of foundation models as well as privacy-preserving capabilities of federated learning. This combination allows the large foundation models and the small local domain models at the remote clients to learn from each other in a teacher-student learning setting. This paper provides a comprehensive summary of the ten challenging problems inherent in FedFMs, encompassing foundational theory, utilization of private data, continual learning, unlearning, Non-IID and graph data, bidirectional knowledge transfer, incentive mechanism design, game mechanism design, model watermarking, and efficiency. The ten challenging problems manifest in five pivotal aspects: “Foundational Theory,” which aims to establish a coherent and unifying theoretical framework for FedFMs. “Data,” addressing the difficulties in leveraging domain-specific knowledge from private data while maintaining privacy; “Heterogeneity,” examining variations in data, model, and computational resources across clients; “Security and Privacy,” focusing on defenses against malicious attacks and model theft; and “Efficiency,” highlighting the need for improvements in training, communication, and parameter efficiency. For each problem, we offer a clear mathematical definition on the objective function, analyze existing methods, and discuss the key challenges and potential solutions. This in-depth exploration aims to advance the theoretical foundations of FedFMs, guide practical implementations, and inspire future research to overcome these obstacles, thereby enabling the robust, efficient, and privacy-preserving FedFMs in various real-world applications.",OpenAlex,https://openalex.org/W4408941147,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3555328,,https://doi.org/10.1109/tkde.2025.3555328,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3555530,TKDE,journal,2025,continuous publication,A Data-level Augmentation Framework for Time Series Forecasting with Ambiguously Related Source Data,Rui Ye; Qun Dai,"Many practical time series forecasting (TSF) tasks are plagued by data limitations. To alleviate this challenge, we design a data-level augmentation framework. It involves a time series generation (TSG) module and a source data selection (Sel-src) module. TSG aims to achieve better generation results by considering both the global profile and temporal dynamics of series. However, when only few target data is available, TSG module may tend to simulate the limited target samples, leading to poor generalization performance. A natural idea for this problem is to seek help from related source domain, which can provide additional useful information for TSG module. Here we consider a more complex situation, where the relevance between source and target domains is ambiguous. That is, irrelevant samples may exist in the source domain. Blindly using all the source data may lead to counterproductive results. To meet this challenge, Sel-src module is designed to select effective source samples by Inter-Representation Learning (Inter-RL) and Intra-Representation Learning (Intra-RL). Effectiveness of this algorithm is underpinned from two aspects: the quality of the augmented data and the accuracy improvement upon the augmentation.",OpenAlex,https://openalex.org/W4409153337,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3555530,,https://doi.org/10.1109/tkde.2025.3555530,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3556427,TKDE,journal,2025,continuous publication,Genie: A Lightweight Serverless Infrastructure for In-Memory Key-Value Caching With Fine-Grained and Prompt Elasticity,Huijuan Xiao; Shixi Yang; Kai Zhang; Yinan Jing; Zhenying He; X. Sean Wang,"An increasing number of web applications require cloud in-memory key-value stores to minimize latency and achieve higher throughput. They generally have diverse characteristics and constantly changing traffic volumes, which require different computational and memory resources. A serverless in-memory key-value store characterized by elastic resource allocation and pay-as-you-go billing could satisfy the requirements of diverse and dynamic workloads. However, we find current serverless IMKVs fail to achieve fine-grained and prompt resource elasticity due to the limitations of their infrastructures. This paper proposes Genie, a lightweight serverless infrastructure for in-memory key-value caching with fine-grained and immediate elasticity. In Genie, a novel approach is adopted to enable dynamic and independent resource allocation to multiple tenants. It processes all arrived requests and estimates the vCPU consumption with a lightweight machine-learning approach for fine-grained billing. Moreover, Genie estimates the working set and dynamically resizes the allocated memory for hit ratio requirements. Evaluation results show that CPU estimation could be achieved every 100 microseconds without impacting system performance, and memory capacity could be adjusted by megabytes within seconds. The holistic design incurs 1%-2% performance degradation compared to our baseline. Moreover, Genie achieves an average of 58.3% CPU and 49.9% memory savings compared to AsparaDB for Memcache.",OpenAlex,https://openalex.org/W4410393986,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3556427,,https://doi.org/10.1109/tkde.2025.3556427,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tkde.2025.3556741,TKDE,journal,2025,continuous publication,Scalable Transactional Stream Processing on Multicore Processors,Jianjun Zhao; Yancan Mao; Zhonghao Yang; Haikun Liu; Shuhao Zhang,"Transactional stream processing engines (TSPEs) are central to modern stream applications handling shared mutable states. However, their full potential, particularly in adaptive scheduling, remains largely unexplored. We presentMorphStream, a TSPE designed to optimize parallelism and performance for transactional stream processing on multicores. Through a unique three-stage execution paradigm (i.e.,planning,scheduling, andexecution),MorphStreamenables adaptive scheduling under varying workload characteristics. Building on this foundation,MorphStreamis further enhanced with support for non-deterministic state access, employing a stateful task precedence graph to handle undefined read/write sets at runtime while guaranteeing transaction semantics. Additionally,MorphStreamincorporates a generalized framework for managing window-based operations, enabling efficient tracking and maintenance of overlapping windows using multi-versioned state management. These extensions enhance the system's ability to process dynamic and irregular workloads. Experimental results demonstrate up to 3.4 times higher throughput and 69.1% lower latency compared to state-of-the-art TSPEs, validating its scalability and adaptability in real-world streaming scenarios.",OpenAlex,https://openalex.org/W4409153173,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tkde.2025.3556741,,https://doi.org/10.1109/tkde.2025.3556741,,Crossref publisher-registered metadata (ISSN 1041-4347),https://www.computer.org/csdl/journal/tk,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
