paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1145/3522671,TOG,journal,2023,"volume 42, issue 1",Centimeter-wave Free-space Neural Time-of-Flight Imaging,Seung-Hwan Baek; Noah Walsh; Ilya Chugunov; Zheng Shi; Felix Heide,"Depth sensors have emerged as a cornerstone sensor modality with diverse applications in personal hand-held devices, robotics, scientific imaging, autonomous vehicles, and more. In particular, correlation Time-of-Flight (ToF) sensors have found widespread adoption for meter-scale indoor applications such as object tracking and pose estimation. While they offer high depth resolution at competitive costs, the precision of these indirect ToF sensors is fundamentally limited by their modulation contrast, which is in turn limited by the effects of photo-conversion noise. In contrast, optical interferometric methods can leverage short illumination modulation wavelengths to achieve depth precision three orders of magnitude greater than ToF, but typically find their range is restricted to the sub-centimeter. In this work, we merge concepts from both correlation ToF design and interferometric imaging; a step towards bridging the gap between these methods. We propose a computational ToF imaging method that optically computes the GHz ToF correlation signal in free space before photo-conversion. To acquire a depth map, we scan a scene point-wise and computationally unwrap the collected correlation measurements. Specifically, we repurpose electro-optical modulators used in optical communication for ToF imaging with centimeter-wave signals, and achieve all-optical correlation at 7.15 GHz and 14.32 GHz modulation frequencies. While GHz modulation frequencies increase depth precision, these high modulation rates also pose a technical challenge. They result in dozens of wraps per meter which cannot be estimated robustly by existing phase unwrapping methods. We tackle this problem with a proposed segmentation-inspired phase unwrapping network , which exploits the correlation of adjacent GHz phase measurements to classify regions into their respective wrap counts. We validate this method in simulation and experimentally, and demonstrate precise depth sensing using centimeter wave modulation that is robust to surface texture and ambient light. Compared to existing analog demodulation methods, the proposed system outperforms all of them across all tested scenarios. CCS Concepts: • Computing methodologies ;",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3522671,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3522671,,https://doi.org/10.1145/3522671,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3544778,TOG,journal,2023,"volume 42, issue 1",ConTesse: Accurate Occluding Contours for Subdivision Surfaces,Chenxi Liu; Pierre Bénard; Aaron Hertzmann; Shayan Hoshyari,"This article proposes a method for computing the visible occluding contours of subdivision surfaces. The article first introduces new theory for contour visibility of smooth surfaces. Necessary and sufficient conditions are introduced for when a sampled occluding contour is valid, that is, when it may be assigned consistent visibility. Previous methods do not guarantee these conditions, which helps explain why smooth contour visibility has been such a challenging problem in the past. The article then proposes an algorithm that, given a subdivision surface, finds sampled contours satisfying these conditions, and then generates a new triangle mesh matching the given occluding contours. The contours of the output triangle mesh may then be rendered with standard non-photorealistic rendering algorithms, using the mesh for visibility computation. The method can be applied to any triangle mesh, by treating it as the base mesh of a subdivision surface.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3544778,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3544778,,https://doi.org/10.1145/3544778,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3549529,TOG,journal,2023,"volume 42, issue 1",The Statistics of Eye Movements and Binocular Disparities during VR Gaming: Implications for Headset Design,Avi M. Aizenman; George A. Koulieris; Agostino Gibaldi; Vibhor Sehgal; Dennis M. Levi; Martin S. Banks,"The human visual system evolved in environments with statistical regularities. Binocular vision is adapted to these such that depth perception and eye movements are more precise, faster, and performed comfortably in environments consistent with the regularities. We measured the statistics of eye movements and binocular disparities in virtual-reality (VR) -gaming environments and found that they are quite different from those in the natural environment. Fixation distance and direction are more restricted in VR, and fixation distance is farther. The pattern of disparity across the visual field is less regular in VR and does not conform to a prominent property of naturally occurring disparities. From this we predict that double vision is more likely in VR than in the natural environment. We also determined the optimal screen distance to minimize discomfort due to the vergence-accommodation conflict, and the optimal nasal-temporal positioning of head-mounted display (HMD) screens to maximize binocular field of view. Finally, in a user study we investigated how VR content affects comfort and performance. Content that is more consistent with the statistics of the natural world yields less discomfort than content that is not. Furthermore, consistent content yields slightly better performance than inconsistent content.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3549529,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3549529,,https://doi.org/10.1145/3549529,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3549540,TOG,journal,2023,"volume 42, issue 1",Breaking Good: Fracture Modes for Realtime Destruction,Silvia Sellán; Jack Luong; Leticia Mattos Da Silva; Aravind Ramakrishnan; Yuchuan Yang; Alec Jacobson,"Drawing a direct analogy with the well-studied vibration or elastic modes, we introduce an object’s fracture modes , which constitute its preferred or most natural ways of breaking. We formulate a sparsified eigenvalue problem, which we solve iteratively to obtain the n lowest-energy modes. These can be precomputed for a given shape to obtain a prefracture pattern that can substitute the state of the art for realtime applications at no runtime cost but significantly greater realism. Furthermore, any realtime impact can be projected onto our modes to obtain impact-dependent fracture patterns without the need for any online crack propagation simulation. We not only introduce this theoretically novel concept, but also show its fundamental and practical advantages in a diverse set of examples and contexts.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3549540,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3549540,,https://doi.org/10.1145/3549540,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3570160,TOG,journal,2023,"volume 42, issue 2",A Sparse Distributed Gigascale Resolution Material Point Method,Yuxing Qiu; Samuel Temple Reeve; Minchen Li; Yin Yang; Stuart Ryan Slattery; Chenfanfu Jiang,"In this article, we present a four-layer distributed simulation system and its adaptation to the Material Point Method (MPM). The system is built upon a performance portable C++ programming model targeting major High-Performance-Computing (HPC) platforms. A key ingredient of our system is a hierarchical block-tile-cell sparse grid data structure that is distributable to an arbitrary number of Message Passing Interface (MPI) ranks. We additionally propose strategies for efficient dynamic load balance optimization to maximize the efficiency of MPI tasks. Our simulation pipeline can easily switch among backend programming models, including OpenMP and CUDA, and can be effortlessly dispatched onto supercomputers and the cloud. Finally, we construct benchmark experiments and ablation studies on supercomputers and consumer workstations in a local network to evaluate the scalability and load balancing criteria. We demonstrate massively parallel, highly scalable, and gigascale resolution MPM simulations of up to 1.01 billion particles for less than 323.25 seconds per frame with 8 OpenSSH-connected workstations.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3570160,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3570160,,https://doi.org/10.1145/3570160,https://dl.acm.org/doi/pdf/10.1145/3570160,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3570327,TOG,journal,2023,"volume 42, issue 2",Deep Appearance Prefiltering,Steve Bako; Pradeep Sen; Anton Kaplanyan,"Physically based rendering of complex scenes can be prohibitively costly with a potentially unbounded and uneven distribution of complexity across the rendered image. The goal of an ideal level of detail (LoD) method is to make rendering costs independent of the 3D scene complexity, while preserving the appearance of the scene. However, current prefiltering LoD methods are limited in the appearances they can support due to their reliance of approximate models and other heuristics. We propose the first comprehensive multi-scale LoD framework for prefiltering 3D environments with complex geometry and materials (e.g., the Disney BRDF), while maintaining the appearance with respect to the ray-traced reference. Using a multi-scale hierarchy of the scene, we perform a data-driven prefiltering step to obtain an appearance phase function and directional coverage mask at each scale. At the heart of our approach is a novel neural representation that encodes this information into a compact latent form that is easy to decode inside a physically based renderer. Once a scene is baked out, our method requires no original geometry, materials, or textures at render time. We demonstrate that our approach compares favorably to state-of-the-art prefiltering methods and achieves considerable savings in memory for complex scenes.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3570327,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3570327,,https://doi.org/10.1145/3570327,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3572896,TOG,journal,2023,"volume 42, issue 2",OpenMPD: A Low-Level Presentation Engine for Multimodal Particle-Based Displays,Roberto Montano-Murillo; Ryuji Hirayama; Diego Martinez Plasencia,"Phased arrays of transducers have been quickly evolving in terms of software and hardware with applications in haptics (acoustic vibrations), display (levitation), and audio. Most recently, Multimodal Particle-based Displays (MPDs) have even demonstrated volumetric content that can be seen, heard, and felt simultaneously, without additional instrumentation. However, current software tools only support individual modalities and they do not address the integration and exploitation of the multi-modal potential of MPDs. This is because there is no standardized presentation pipeline tackling the challenges related to presenting such kind of multi-modal content (e.g., multi-modal support, multi-rate synchronization at 10 KHz, visual rendering or synchronization and continuity). This article presents OpenMPD, a low-level presentation engine that deals with these challenges and allows structured exploitation of any type of MPD content (i.e., visual, tactile, audio). We characterize OpenMPD’s performance and illustrate how it can be integrated into higher-level development tools (i.e., Unity game engine). We then illustrate its ability to enable novel presentation capabilities, such as support of multiple MPD contents, dexterous manipulations of fast-moving particles, or novel swept-volume MPD content.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3572896,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3572896,,https://doi.org/10.1145/3572896,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3572897,TOG,journal,2023,"volume 42, issue 3",Symmetric Volume Maps: Order-invariant Volumetric Mesh Correspondence with Free Boundary,S. Mazdak Abulnaga; Oded Stein; Polina Golland; Justin Solomon,"Although shape correspondence is a central problem in geometry processing, most methods for this task apply only to two-dimensional surfaces. The neglected task of volumetric correspondence—a natural extension relevant to shapes extracted from simulation, medical imaging, and volume rendering—presents unique challenges that do not appear in the two-dimensional case. In this work, we propose a method for mapping between volumes represented as tetrahedral meshes. Our formulation minimizes a distortion energy designed to extract maps symmetrically, i.e., without dependence on the ordering of the source and target domains. We accompany our method with theoretical discussion describing the consequences of this symmetry assumption, leading us to select a symmetrized ARAP energy that favors isometric correspondences. Our final formulation optimizes for near-isometry while matching the boundary. We demonstrate our method on a diverse geometric dataset, producing low-distortion matchings that align closely to the boundary.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3572897,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3572897,,https://doi.org/10.1145/3572897,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3575859,TOG,journal,2023,"volume 42, issue 3",As-Continuous-As-Possible Extrusion-Based Fabrication of Surface Models,Fanchao Zhong; Yonglai Xu; Haisen Zhao; Lin Lu,"In this study, we propose a computational framework for optimizing the continuity of the toolpath in fabricating surface models on an extrusion-based 3D printer. Toolpath continuity is a critical issue that influences both the quality and the efficiency of extrusion-based fabrication. Transfer moves lead to rough and bumpy surfaces, where this phenomenon worsens for materials with large viscosity, like clay. The effects of continuity on the surface models are even more severe in terms of the quality of the surface and the stability of the model. We introduce a criterion called the one–path patch (OPP) to represent a patch on the surface of the shell that can be traversed along one path by considering the constraints on fabrication. We study the properties of the OPPs and their merging operations to propose a bottom-up OPP merging procedure to decompose the given shell surface into a minimal number of OPPs, and to generate the “as-continuous-as-possible” (ACAP) toolpath. Furthermore, we augment the path planning algorithm with a curved-layer printing scheme that reduces staircase defects and improves the continuity of the toolpath by connecting multiple segments. We evaluated the ACAP algorithm on ceramic and thermoplastic materials, and the results showed that it improves the fabrication of surface models in terms of both efficiency and surface quality.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3575859,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3575859,,https://doi.org/10.1145/3575859,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1145/3578575,TOG,journal,2023,"volume 42, issue 3",How Important are Detailed Hand Motions for Communication for a Virtual Character Through the Lens of Charades?,Alex Adkins; Aline Normoyle; Lorraine Lin; Yu Sun; Yuting Ye; Massimiliano Di Luca; Sophie Jörg,"Detailed hand motions play an important role in face-to-face communication to emphasize points, describe objects, clarify concepts, or replace words altogether. While shared virtual reality (VR) spaces are becoming more popular, these spaces do not, in most cases, capture and display accurate hand motions. In this article, we investigate the consequences of such errors in hand and finger motions on comprehension, character perception, social presence, and user comfort. We conduct three perceptual experiments where participants guess words and movie titles based on motion captured movements. We introduce errors and alterations to the hand movements and apply techniques to synthesize or correct hand motions. We collect data from more than 1000 Amazon Mechanical Turk participants in two large experiments, and conduct a third experiment in VR. As results might differ depending on the virtual character used, we investigate all effects on two virtual characters of different levels of realism. We furthermore investigate the effects of clip length in our experiments. Amongst other results, we show that the absence of finger motion significantly reduces comprehension and negatively affects people’s perception of a virtual character and their social presence. Adding some hand motions, even random ones, does attenuate some of these effects when it comes to the perception of the virtual character or social presence, but it does not necessarily improve comprehension. Slightly inaccurate or erroneous hand motions are sufficient to achieve the same level of comprehension as with accurate hand motions. They might however still affect the viewers’ impression of a character. Finally, jittering hand motions should be avoided as they significantly decrease user comfort.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3578575,official_plus_secondary,2026-08-13T09:37:42+00:00,10.1145/3578575,,https://doi.org/10.1145/3578575,,Crossref publisher-registered metadata (ISSN 0730-0301),https://dl.acm.org/journal/tog,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
