paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1145/3787452,TOIS,journal,2026,continuous publication,The Effect of Task Complexity and Domain Expertise on Search Performance and User Behavior in Conversational Exploratory Search,Wenbo Zhang; Fan Zhang; Jiaxin Mao; Wei Lu,"As online resources expand, users increasingly engage in complex search tasks to acquire knowledge or explore unfamiliar topics. Supporting dynamic and interactive search behaviors remains challenging for current search engines, but conversational search offers a promising solution. In conversational search, users express intent naturally through spoken language and engage in multi-turn interactions to progressively satisfy their information needs. Previous studies on traditional web search have shown that task complexity and domain expertise significantly influence user behavior and performance. However, it remains unclear whether these factors exert different effects on user behavior and performance in conversational search, particularly in exploratory tasks. In this study, we conducted a carefully designed user experiment with 32 participants and collected a comprehensive dataset of search behaviors, including querying, clicking, and eye fixation sequences, along with explicit feedback and questionnaire data. Using this dataset, we investigated the influence of task complexity and domain expertise on search performance and user behavior in conversational exploratory search, focusing on three interactive aspects: user effort, user queries, and user clicks. Our findings provide valuable insights into how task complexity and expertise influence user behavior and search performance, with implications for optimizing conversational systems to better support complex exploratory tasks.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3787452,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3787452,,https://doi.org/10.1145/3787452,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3829367,TOIS,journal,2026,continuous publication,CFALR: Collaborative Filtering-Augmented Large Language Model for Personalized Fashion Outfit Recommendation,Yujuan Ding; Junrong Liao; Yunshan Ma; Yi Bin; Wenqi Fan; Tat-Seng Chua; Qing Li,"Personalized outfit recommendation poses a significant challenge in e-commerce and social media platforms, requiring systems that balance user preferences with aesthetic compatibility. Collaborative filtering (CF) provides a traditional solution for this, but it struggles with data-sparse scenarios and complex user-item-outfit relationships. Meanwhile, existing template-based approaches are constrained by rigid pre-designed structures. To bridge these research gaps, we introduce CFALR (Collaborative Filtering-Augmented Large Language Model for Recommendation), a novel framework that synergizes collaborative filtering with large language models for personalized outfit recommendation. Specifically, CFALR describes user-outfit interactions in natural language and leverages LLMs to capture fashion semantics while employing CF-enhanced embeddings to bridge the semantic space and the collaborative interaction spaces. Our technical contributions include: (1) the first LLM-based architecture specifically designed for personalized outfit recommendation, (2) a CF-augmented generative mechanism that efficiently navigates the extensive combination space of outfit items, and (3) trainable projection layers that optimally integrate relational and content features. Experiments on Polyvore and IQON benchmarks demonstrate CFALR's superior performance over both traditional CF-based and LLM-based methods in personalized fill-in-the-blank and personalized outfit generation tasks.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3829367,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3829367,,https://doi.org/10.1145/3829367,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831677,TOIS,journal,2026,continuous publication,Causal-Invariant Cross-Domain Out-of-Distribution Recommendation,Jiajie Zhu; Yan Wang; Feng Zhu; Pengfei Ding; Hongyang Liu; Zhu Sun,"Cross-Domain Recommendation (CDR) aims to leverage knowledge from a relatively data-richer source domain to address the data sparsity problem in a relatively data-sparser target domain. While CDR methods need to address the distribution shifts between different domains, i.e., cross-domain distribution shifts (CDDS), they typically assume independent and identical distribution (IID) between training and testing data within the target domain. However, this IID assumption rarely holds in real-world scenarios due to single-domain distribution shift (SDDS). The above two co-existing distribution shifts lead to out-of-distribution (OOD) environments that hinder effective knowledge transfer and generalization, ultimately degrading recommendation performance in CDR. To address these co-existing distribution shifts, we propose a novel C ausal- I nvariant C ross- D omain O ut-of-distribution R ecommendation framework, called CICDOR. In CICDOR, we first learn dual-level causal structures to infer domain-specific and domain-shared causal-invariant user preferences for tackling both CDDS and SDDS under OOD environments in CDR. Then, we propose an LLM-guided confounder discovery module that seamlessly integrates LLMs with a conventional causal discovery method to extract observed confounders for effective deconfounding, thereby enabling accurate causal-invariant preference inference. Extensive experiments on two real-world datasets demonstrate the superior recommendation accuracy of CICDOR over state-of-the-art methods across various OOD scenarios.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831677,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831677,,https://doi.org/10.1145/3831677,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831679,TOIS,journal,2026,continuous publication,RAGnRoll: Learning to Iteratively Retrieve and Generate Attributable Answer Snippets,Hanane Djeddal; Laure Soulier; Karen Pinel-Sauvagnat; Sophia Katrenko; Pierre Erbacher; Lynda Tamine,"The rapid adoption of generative search engines has marked a significant shift in information retrieval. New approaches leverage Large Language Models (LLMs) to provide synthesized, contextually rich responses in natural language to directly satisfy users’ information needs. Due to their generative nature, these systems benefit from enhanced reliability by integrating explicit references to supporting sources in their outputs, otherwise known as Attribution . Teaching LLMs this capability is a challenging task that heavily depends on training data quality and strong training signals, especially for scenarios that require digesting long contexts and providing comprehensive answers. Planning and decomposition have notoriously helped language models produce better answers, but their impact on attribution remains relatively unexplored. This work proposes RAGnRoll, a language model for attributed answer generation within a multi-round Retrieval-Augmented Generation (RAG) framework. We leverage the iterative nature of multi-round RAG to train an LLM to incrementally build answers guided by subqueries. RAGnRoll is trained using a causal language modeling objective and a small, specially crafted dataset. Empirical evaluations on four different datasets for attributed long answer generation (ASQA, ELI5) and information-seeking (HAGRID and CORAL) demonstrate RAGnRoll's impact on both answer correctness and attribution accuracy. We extensively evaluate RAGnRoll training approach against baseline methods and benchmark its performance at inference against strong state-of-the-art models. RAGnRoll achieves competitive performance with advanced approaches without relying on extensive data or complex training.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831679,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831679,,https://doi.org/10.1145/3831679,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831683,TOIS,journal,2026,continuous publication,Dynamic Uncertainty Learning with Noisy Correspondence for Text-based Person Retrieval,Zequn Xie; Chuxin Wang; Sihang Cai; Fangming Feng; Guijin luo; Qifei Zhang; Jingyuan Chen; Tao Jin,"Text-Based Person Retrieval (TBPR) aims to locate a person in an image database based on a natural language description. While effective in theory, TBPR faces substantial challenges in real-world scenarios due to noisy correspondences —misaligned or weakly related image-text pairs—that significantly degrade retrieval performance. Existing methods often overemphasize hard negative mining, which inadvertently magnifies the impact of such noise. To address this issue, we propose Dynamic Uncertainty with Noisy Correspondences (DUNC) , a novel framework that incorporates two key components: (1) Cross-modal Evidential Learning (CEL) , which models bidirectional alignment uncertainty using a Dirichlet distribution to capture the confidence in image-text similarity, and (2) Dynamic Robust Loss (DRL) , which adaptively selects and aggregates hard negative samples to reduce the influence of noisy instances and improve model robustness. Unlike conventional global-alignment approaches, DUNC exploits fine-grained local correspondences to enhance semantic alignment between modalities. By integrating uncertainty-aware modeling and adaptive contrastive supervision, our method is capable of effectively disentangling noisy from reliable training pairs. Extensive experiments conducted on three benchmark datasets—CUHK-PEDES, ICFG-PEDES, and RSTPReid—demonstrate that DUNC consistently achieves state-of-the-art performance and exhibits strong robustness across a wide range of noise conditions. Code is publicly available at https://github.com/ASL-forever/DUNC .",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831683,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831683,,https://doi.org/10.1145/3831683,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831684,TOIS,journal,2026,continuous publication,LLMs are Also Effective Embedding Models: An In-depth Overview,Chongyang Tao; Tao Shen; Shen Gao; Junshuo Zhang; Zhen Li; Kai Hua; Wenpen Hu; Zhangwei Tao; Shuai Ma,"Large language models (LLMs) have revolutionized natural language processing by achieving state-of-the-art performance across various tasks. Recently, their effectiveness as embedding models has gained attention, marking a paradigm shift from traditional encoder-only models like ELMo and BERT to decoder-only, large-scale LLMs such as GPT, LLaMA, and Mistral. This survey provides an in-depth overview of this transition, beginning with foundational techniques before the LLM era, followed by LLM-based embedding models through two main strategies to derive embeddings from LLMs. 1) Direct prompting: We mainly discuss the prompt designs and the underlying rationale for deriving competitive embeddings. 2) Data-centric tuning: We cover extensive aspects that affect tuning an embedding model, including model architecture, training objectives, data constructions, etc. Upon the above, we also cover advanced methods for producing embeddings from longer texts, multilingual, code, cross-modal data, as well as reasoning-aware and other domain-specific scenarios. Furthermore, we discuss factors affecting choices of embedding models, such as performance comparisons, dense vs sparse embeddings, pooling strategies, and scaling law. Lastly, the survey highlights the limitations and challenges in adapting LLMs for embeddings, including cross-task embedding quality, trade-offs between efficiency and accuracy, low-resource, long-context, data bias, robustness, etc. This survey serves as a valuable resource for researchers and practitioners by synthesizing current advancements, highlighting key challenges, and offering a comprehensive framework for future work aimed at enhancing the effectiveness and efficiency of LLMs as embedding models.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831684,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831684,,https://doi.org/10.1145/3831684,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831685,TOIS,journal,2026,continuous publication,Prompt-Guided Graph Contrastive Learning with Controllable Augmentation and Fine-Grained Preference Modeling for Recommendation,Shoujia Zhang; Enhao Cheng; Han Liu; Jianhua Yin; Tian Gan; Xuemeng Song; Yinwei Wei; Weili Guan,"Graph contrastive learning (GCL) is a promising approach for improving collaborative filtering (CF), especially in sparse interaction settings. Despite their effectiveness, most existing GCL-based recommendation methods risk disrupting meaningful collaborative signals by relying on uncontrollable graph augmentations. Besides, these methods fail to explicitly capture and integrate diverse fine-grained preferences because they model user-item interactions at a coarse level. To address these issues, we propose P rompt-guided G raph C ontrastive L earning (PGCL), a novel framework that introduces learnable prompt nodes to construct controllable augmented graphs and enable fine-grained preference modeling. Specifically, these prompt nodes serve as latent fine-grained preferences and can be dynamically connected to user and item nodes in the graph based on semantic relevance. With this prompt-guided augmented graph, PGCL then incorporates two modules: the prompt-guided and the interaction-enhanced contrastive learning. The former adaptively aligns users and items with their most semantically relevant prompt nodes, enabling the model to capture and distinguish multi-dimensional preference signals. The latter incorporates real user-item interaction pairs as supervision, mitigating potential bias from prompt semantics and reinforcing collaborative signal learning. Together, these designs enable PGCL to model fine-grained preferences via a more semantically guided augmentation process. Extensive experiments across five public datasets demonstrate that PGCL consistently outperforms state-of-the-art baselines, thereby validating its effectiveness for recommendation tasks.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831685,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831685,,https://doi.org/10.1145/3831685,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831687,TOIS,journal,2026,continuous publication,Planner Policies are Bias Learners: A Comprehensive Analysis of Preference Bias in LLM-based Dialogue Planner Policies,Yizhe Yang; Heyan Huang; Jiawei Li; Huashan Sun; Yang Gao,"Large language models have facilitated the development of sophisticated dialogue planner policies. However, their reliance on LLM-based simulation and feedback for policy optimization may introduce preference bias. This paper presents the first comprehensive analysis of preference bias in LLM-based dialogue planners. It systematically evaluates four state-of-the-art planning methods across three dialogue domains, utilizing multiple LLM families at varying scales. Our investigation reveals that all tested planners exhibit significant preference bias, favoring narrow strategy sets over maintaining balanced distributions. Notably, larger models paradoxically amplify bias. User simulation emerges as the primary bias driver, while diverse persona simulation proves ineffective as a mitigation strategy. Most concerning, preference bias leads planners toward ethically problematic strategies that achieve short-term success while compromising real-world effectiveness and ethical standards. These findings establish fundamental challenges for responsible deployment of LLM-based dialogue systems and provide crucial insights for developing more reliable and ethically aligned planning approaches.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831687,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831687,,https://doi.org/10.1145/3831687,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3831697,TOIS,journal,2026,continuous publication,Prompt Learning for Textual Heterogeneous Information Networks,Yang Fang; Xiang Zhao; Daojian Zeng; Weidong Xiao; Maarten de Rijke; Minnan Luo; Xinwang Liu,"Heterogeneous information networks (HINs) play an indispensable role in a wide range of domain-specific applications, from recommender systems to conversational platforms. Textual heterogeneous information networks (HINs) are graphs with abundant textual information. Currently, most advanced approaches to mine textual features from HINs follow a “pre-training and fine-tuning” schema which may cause a “negative transfer” problem since there is a gap between pre-training tasks and downstream tasks. We propose a prompt-learning framework P-HIN that provides a new angle to align textual information and graph information, while narrowing down the gap between the pre-trained models and various downstream tasks. To the best of our knowledge, we are among the first to introduce and exploit the idea of prompt learning to align HIN features and textual features. The proposed framework P-HIN is composed of a text encoder and a graph encoder, and uses contrastive learning to align and fuse the graph-text pair. This pre-training operation naturally fits the few-shot learning setting. For the graph encoder, we introduce two graph pre-training tasks, masked node modeling and edge reconstruction, to exploit self-supervised information. During optimization, instead of handcrafted prompts, we use a learnable continuous text that enables more efficient and task-relevant transfer to downstream datasets. We consider a residual connection to use the context from the graph to prompt the text encoder. In experiments, P-HIN consistently and significantly outperforms state-of-the-art alternatives on all real-life datasets.",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3831697,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3831697,,https://doi.org/10.1145/3831697,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1145/3833415,TOIS,journal,2026,continuous publication,A Survey on Knowledge-Oriented Retrieval-Augmented Generation,Mingyue Cheng; Yucong Luo; Jie Ouyang; Qi Liu; Huijie Liu; Li Li; Shuo Yu; Bohou Zhang; Jiawei Cao; Jie Ma; Daoyu Wang; Enhong Chen,"Retrieval-Augmented Generation (RAG) has gained significant attention in recent years for its potential to enhance natural language understanding and generation by combining large-scale retrieval systems with generative models. RAG leverages external knowledge sources, such as documents, databases, or structured data, to improve model performance and generate more accurate and contextually relevant outputs. This survey aims to provide a comprehensive overview of RAG by examining its fundamental components, including retrieval mechanisms, generation processes, and the integration between the two. We discuss the key characteristics of RAG, such as its ability to augment generative models with dynamic external knowledge, and the challenges associated with aligning retrieved information with generative objectives. We also present a taxonomy that categorizes RAG methods, ranging from basic retrieval-augmented approaches to more advanced models incorporating multimodal data and reasoning capabilities. Additionally, we review the evaluation benchmarks and datasets commonly used to assess RAG systems, along with a detailed exploration of its applications in fields such as question answering, summarization, and information retrieval. Finally, we highlight emerging research directions and opportunities for improving RAG systems, such as enhanced retrieval efficiency, model interpretability, and domain-specific adaptations. This paper concludes by outlining the prospects for RAG in addressing real-world challenges and its potential to drive further advancements in natural language processing . 1",Crossref publisher-registered metadata,https://api.crossref.org/works/10.1145/3833415,official_plus_secondary,2026-09-01T13:21:32+00:00,10.1145/3833415,,https://doi.org/10.1145/3833415,,Crossref publisher-registered metadata (ISSN 1046-8188),https://dl.acm.org/journal/tois,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
