paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1109/tpami.2025.3550031,TPAMI,journal,2025,continuous publication,Video4DGen: Enhancing Video and 4D Generation through Mutual Optimization,Yikai Wang; Guangce Liu; Xinzhou Wang; Zilong Chen; Jiafang Li; Xin Liang; Fuchun Sun; Jun Zhu,"The advancement of 4D (i.e., sequential 3D) generation opens up new possibilities for lifelike experiences in various applications, where users can explore dynamic objects or characters from any viewpoint. Meanwhile, video generative models are receiving particular attention given their ability to produce realistic and imaginative frames. These models are also observed to exhibit strong 3D consistency, indicating the potential to act as world simulators. In this work, we present Video4DGen, a novel framework that excels in generating 4D representations from single or multiple generated videos as well as generating 4D-guided videos. This framework is pivotal for creating high-fidelity virtual contents that maintain both spatial and temporal coherence. The 4D outputs generated by Video4DGen are represented using our proposed Dynamic Gaussian Surfels (DGS), which optimizes time-varying warping functions to transform Gaussian surfels (surface elements) from a static state to a dynamically warped state. We design warped-state geometric regularization and refinements on Gaussian surfels, to preserve the structural integrity and fine-grained appearance details, respectively. Additionally, in order to perform 4D generation from multiple videos and effectively capture representation across spatial, temporal, and pose dimensions, we design multi-video alignment, root pose optimization, and pose-guided frame sampling strategies. The leveraging of continuous warping fields also enables a precise depiction of pose, motion, and deformation over per-video frames. Further, to improve the overall fidelity from the observation of all camera poses, Video4DGen performs novel-view video generation guided by the 4D content, with the proposed confidence-filtered DGS to enhance the quality of generated sequences. In summary, Video4DGen yields dynamic 4D generation with the ability to handle different subject movements, while preserving details in both geometry and appearance. The framework also generates 4D-guided videos with high spatial and temporal coherence. With the ability of 4D and video generation, Video4DGen offers a powerful tool for applications in virtual reality, animation, and beyond.",OpenAlex,https://openalex.org/W4408324436,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3550031,,https://doi.org/10.1109/tpami.2025.3550031,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3550195,TPAMI,journal,2025,continuous publication,Instant Gaussian Splatting Generation for High-Quality and Real-Time Facial Asset Rendering,Dafei Qin; Hongyang Lin; Qixuan Zhang; Kaichun Qiao; Longwen Zhang; Jun Saito; Zijun Zhao; Jingyi Yu; Lan Xu; Taku Komura,"Traditional and AI-driven modeling techniques enable high-fidelity 3D asset generation from scans, videos, or text prompts. However, editing and rendering these assets often involves a trade-off between quality and speed. In this paper, we propose GauFace, a novel Gaussian Splatting representation, tailored for efficient rendering of facial mesh with textures. Then, we introduce TransGS, a diffusion transformer that instantly generates the GauFace assets from mesh, textures and lightning conditions. Specifically, we adopt a patch-based pipeline to handle the vast number of Gaussian Points, a novel texel-aligned sampling scheme with UV positional encoding to enhance the throughput of generating GauFace assets. Once trained, TransGS can generate GauFace assets in 5 seconds, delivering high fidelity and real-time facial interaction of 30fps@1440p to a Snapdragon 8 Gen 2 mobile platform. The rich conditional modalities further enable editing and animation capabilities reminiscent of traditional CG pipelines. We conduct extensive evaluations and user studies, compared to traditional renderers, as well as recent neural rendering methods. They demonstrate the superior performance of our approach for facial asset rendering. We also showcase diverse applications of facial assets using our TransGS approach and GauFace representation, across various platforms like PCs, phones, and VR headsets.",OpenAlex,https://openalex.org/W4408442274,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3550195,,https://doi.org/10.1109/tpami.2025.3550195,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3553454,TPAMI,journal,2025,continuous publication,M<sup>2</sup> Diffuser: Diffusion-based Trajectory Optimization for Mobile Manipulation in 3D Scenes,Sixu Yan; Zeyu Zhang; Muzhi Han; Zaijin Wang; Qi Xie; Zhitian Li; Zhehan Li; Hangxin Liu; Xinggang Wang; Song-Chun Zhu,"Recent advances in diffusion models have opened new avenues for research into embodied AI agents and robotics. Despite significant achievements in complex robotic locomotion and skills, mobile manipulation–a capability that requires the coordination of navigation and manipulation–remains a challenge for generative AI techniques. This is primarily due to the high-dimensional action space, extended motion trajectories, and interactions with the surrounding environment. In this paper, we introduce M2Diffuser, a diffusion-based, scene-conditioned generative model that directly generates coordinated and efficient whole-body motion trajectories for mobile manipulation based on robot-centric 3D scans. M2Diffuser first learns trajectory-level distributions from mobile manipulation trajectories provided by an expert planner. Crucially, it incorporates an optimization module that can flexibly accommodate physical constraints and task objectives, modeled as cost and energy functions, during the inference process. This enables the reduction of physical violations and execution errors at each denoising step in a fully differentiable manner. Through benchmarking on three types of mobile manipulation tasks across over 20 scenes, we demonstrate that M2Diffuser outperforms state-of-the-art neural planners and successfully transfers the generated trajectories to a real-world robot. Our evaluations underscore the potential of generative AI to enhance the generalization of traditional planning and learning-based robotic methods, while also highlighting the critical role of enforcing physical constraints for safe and robust execution. Videos, code and more details are available athttps://m2diffuser.github.io.",OpenAlex,https://openalex.org/W4408727266,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3553454,,https://doi.org/10.1109/tpami.2025.3553454,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3561248,TPAMI,journal,2025,continuous publication,GPS-Gaussian+: Generalizable Pixel-wise 3D Gaussian Splatting for Real-Time Human-Scene Rendering from Sparse Views,Boyao Zhou; Shunyuan Zheng; Hanzhang Tu; Ruizhi Shao; Boning Liu; Shengping Zhang; Liqiang Nie; Yebin Liu,"Differentiable rendering techniques have recently shown promising results for free-viewpoint video synthesis of characters. However, such methods, either Gaussian Splatting or neural implicit rendering, typically necessitate per-subject optimization which does not meet the requirement of real-time rendering in an interactive application. We propose a generalizable Gaussian Splatting approach for high-resolution image rendering under a sparse-view camera setting. To this end, we introduce Gaussian parameter maps defined on the source views and directly regress Gaussian properties for instant novel view synthesis without any fine-tuning or optimization. We train our Gaussian parameter regression module on human-only data or human-scene data, jointly with a depth estimation module to lift 2D parameter maps to 3D space. The proposed framework is fully differentiable with both depth and rendering supervision or with only rendering supervision. We further introduce a regularization term and an epipolar attention mechanism to preserve geometry consistency between two source views, especially when neglecting depth supervision. Experiments on several datasets demonstrate that our method outperforms state-of-the-art methods while achieving an exceeding rendering speed. Our project page is available at https://yaourtb.github.io/GPS-Gaussian+.",OpenAlex,https://openalex.org/W4409474127,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3561248,,https://doi.org/10.1109/tpami.2025.3561248,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3568190,TPAMI,journal,2025,continuous publication,DreamComposer++: Empowering Diffusion Models with Multi-View Conditions for 3D Content Generation,Yunhan Yang; Shuo Chen; Yukun Huang; Xiaoyang Wu; Yuan-Chen Guo; Edmund Y. Lam; Hengshuang Zhao; Tong He; Xihui Liu,"Recent advancements in leveraging pre-trained 2D diffusion models achieve the generation of high-quality novel views from a single in-the-wild image. However, existing works face challenges in producing controllable novel views due to the lack of information from multiple views. In this paper, we present DreamComposer++, a flexible and scalable framework designed to improve current view-aware diffusion models by incorporating multi-view conditions. Specifically, DreamComposer++ utilizes a view-aware 3D lifting module to extract 3D representations of an object from various views. These representations are then aggregated and rendered into the latent features of target view through the multi-view feature fusion module. Finally, the obtained features of target view are integrated into pre-trained image or video diffusion models for novel view synthesis. Experimental results demonstrate that DreamComposer++ seamlessly integrates with cutting-edge view-aware diffusion models and enhances their abilities to generate controllable novel views from multi-view conditions. This advancement facilitates controllable 3D object reconstruction and enables a wide range of applications.",OpenAlex,https://openalex.org/W4410204606,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3568190,,https://doi.org/10.1109/tpami.2025.3568190,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3568201,TPAMI,journal,2025,continuous publication,Octree-GS: Towards Consistent Real-time Rendering with LOD-Structured 3D Gaussians,Kerui Ren; Lihan Jiang; Tao Lu; Mulin Yu; Linning Xu; Zhangkai Ni; Bo Dai,"The recently proposed 3D Gaussian Splatting (3D-GS) demonstrates superior rendering fidelity and efficiency compared to NeRF-based scene representations. However, it struggles in large-scale scenes due to the high number of Gaussian primitives, particularly in zoomed-out views, where all primitives are rendered regardless of their projected size. This often results in inefficient use of model capacity and difficulty capturing details at varying scales. To address this, we introduce Octree-GS, a Level-of-Detail (LOD) structured approach that dynamically selects appropriate levels from a set of multi-scale Gaussian primitives, ensuring consistent rendering performance. To adapt the design of LOD, we employ an innovative grow-and-prune strategy for densification and also propose a progressive training strategy to arrange Gaussians into appropriate LOD levels. Additionally, our LOD strategy generalizes to other Gaussian-based methods, such as 2D-GS and Scaffold-GS, reducing the number of primitives needed for rendering while maintaining scene reconstruction accuracy. Experiments on diverse datasets demonstrate that our method achieves real-time speeds, being up to 10× faster than state-of-the-art methods in large-scale scenes, without compromising visual quality. Project page: https://city-super.github.io/octree-gs/.",OpenAlex,https://openalex.org/W4410204460,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3568201,,https://doi.org/10.1109/tpami.2025.3568201,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3569596,TPAMI,journal,2025,continuous publication,Gamba: Marry Gaussian Splatting With Mamba for Single-View 3D Reconstruction,Qiuhong Shen; Zike Wu; Xuanyu Yi; Pan Zhou; Hanwang Zhang; Shuicheng Yan; Xinchao Wang,"We tackle the challenge of efficiently reconstructing a 3D asset from a single image at millisecond speed. In this work, we introduce Gamba, an end-to-end 3D reconstruction model from a single-view image, emphasizing two main insights: (1) Efficient Backbone Design: introducing a Mamba-based GambaFormer network to model 3D Gaussian Splatting (3DGS) reconstruction as sequential prediction with linear scalability of token length, thereby accommodating a substantial number of Gaussians; (2) Robust Gaussian Constraints: deriving radial mask constraints from multi-view masks to eliminate the need for warmup supervision of 3D point clouds in training. We trained Gamba on Objaverse and assessed it against existing optimization-based and feed-forward 3D reconstruction approaches on the GSO Dataset, among which Gamba is the only end-to-end trained single-view reconstruction model with 3DGS. Experimental results demonstrate its competitive generation capabilities both qualitatively and quantitatively and highlight its remarkable speed: Gamba completes reconstruction within 0.05 seconds on a single NVIDIA A100 GPU, which is about $1,000\times$ faster than optimization-based methods. Please see our project page at https://florinshen.github.io/gamba-project/.",OpenAlex,https://openalex.org/W4410492284,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3569596,,https://doi.org/10.1109/tpami.2025.3569596,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3573414,TPAMI,journal,2025,continuous publication,EigenActor: Variant Body-Object Interaction Generation Evolved from Invariant Action Basis Reasoning,Xuehao Gao; Yang Yang; Shaoyi Du; Yang Wu; Yebin Liu; Guo-Jun Qi,"This paper explores a cross-modality synthesis task that infers 3D human-object interactions (HOIs) from a given text-based instruction. Existing text-to-HOI synthesis methods mainly deploy a direct mapping from texts to object-specific 3D body motions, which may encounter a performance bottleneck since the huge cross-modality gap. In this paper, we observe that those HOI samples with the same interaction intention toward different targets, e.g., ""lift a chair"" and ""lift a cup"", always encapsulate similar action-specific body motion patterns while characterizing different object-specific interaction styles. Thus, learning effective action-specific motion priors and object-specific interaction priors is crucial for a text-to-HOI model and dominates its performances on text-HOI semantic consistency and body-object interaction realism. In light of this, we propose a novel body pose generation strategy for the text-to-HOI task: infer object-agnostic canonical body action first and then enrich object-specific interaction styles. Specifically, the first canonical body action inference stage focuses on learning intra-class shareable body motion priors and mapping given text-based semantics to action-specific canonical 3D body motions. Then, in the object-specific interaction inference stage, we focus on object affordance learning and enrich object-specific interaction styles on an inferred action-specific body motion basis. Extensive experiments verify that our proposed text-to-HOI synthesis system significantly outperforms other SOTA methods on three large-scale datasets with better semantic consistency and interaction realism performances.",OpenAlex,https://openalex.org/W4410639117,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3573414,,https://doi.org/10.1109/tpami.2025.3573414,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3575937,TPAMI,journal,2025,continuous publication,GIR: 3D Gaussian Inverse Rendering for Relightable Scene Factorization,Yahao Shi; Yanmin Wu; Chenming Wu; Xing Liu; Chen Zhao; Haocheng Feng; Jian Zhang; Bin Zhou; Errui Ding; Jingdong Wang,"This paper presents a 3D Gaussian Inverse Rendering (GIR) method, employing 3D Gaussian representations to effectively factorize the scene into material properties, light, and geometry. The key contributions are three-fold. We compute the normal of each 3D Gaussian using the shortest eigenvector, with a directional masking scheme forcing accurate normal estimation without external supervision. We adopt an efficient voxel-based indirect illumination tracing scheme that stores direction-aware outgoing radiance in each 3D Gaussian to disentangle secondary illumination for approximating multi-bounce light transport. To further enhance the illumination disentanglement, we represent a high-resolution environmental map with a learnable low-resolution map and a lightweight, fully convolutional network. Our method achieves state-of-the-art performance in both relighting and novel view synthesis tasks among the recently proposed inverse rendering methods while achieving real-time rendering. This substantiates our proposed method's efficacy and broad applicability, highlighting its potential as an influential tool in various real-time interactive graphics applications such as material editing and relighting.",OpenAlex,https://openalex.org/W4411203532,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3575937,,https://doi.org/10.1109/tpami.2025.3575937,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1109/tpami.2025.3577067,TPAMI,journal,2025,continuous publication,Gen-3Diffusion: Realistic Image-to-3D Generation Via 2D &amp; 3D Diffusion Synergy,Yuxuan Xue; Xianghui Xie; Riccardo Marin; Gerard Pons-Moll,"Creating realistic 3D objects and clothed avatars from a single RGB image is an attractive yet challenging problem. Due to its ill-posed nature, recent works leverage powerful prior from 2D diffusion models pretrained on large datasets. Although 2D diffusion models demonstrate strong generalization capability, they cannot guarantee the generated multi-view images are 3D consistent. In this paper, we propose Gen-3Diffusion: Realistic Image-to-3D Generation via 2D & 3D Diffusion Synergy. We leverage a pre-trained 2D diffusion model and a 3D diffusion model via our elegantly designed process that synchronizes two diffusion models at both training and sampling time. The synergy between the 2D and 3D diffusion models brings two major advantages: 1) 2D helps 3D in generalization: the pretrained 2D model has strong generalization ability to unseen images, providing strong shape priors for the 3D diffusion model; 2) 3D helps 2D in multi-view consistency: the 3D diffusion model enhances the 3D consistency of 2D multi-view sampling process, resulting in more accurate multi-view generation. We validate our idea through extensive experiments in image-based objects and clothed avatar generation tasks. Results show that our method generates realistic 3D avatars and objects with high-fidelity geometry and texture. Extensive ablations also validate our design choices and demonstrate the strong generalization ability to diverse clothing and compositional shapes. Our code and pretrained models will be publicly released on our https://yuxuan-xue.com/gen-3diffusion.",OpenAlex,https://openalex.org/W4411055340,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1109/tpami.2025.3577067,,https://doi.org/10.1109/tpami.2025.3577067,,Crossref publisher-registered metadata (ISSN 0162-8828),https://www.computer.org/csdl/journal/tp,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
