venue,year,rows,unique_paper_ids,with_doi,with_pdf_url,source_tier,list_status,validation_issues,file
3DV,2024,154,154,154,0,official_plus_secondary,final,0,data/catalog/conferences/3DV/3dv_2024.csv
3DV,2025,142,142,142,0,official_plus_secondary,final,0,data/catalog/conferences/3DV/3dv_2025.csv
AAAI,2023,1578,1578,1578,1578,official_plus_secondary,final,0,data/catalog/conferences/AAAI/aaai_2023.csv
AAAI,2024,2331,2331,2331,2331,official_plus_secondary,final,0,data/catalog/conferences/AAAI/aaai_2024.csv
AAAI,2025,3028,3028,3028,3028,official_plus_secondary,final,0,data/catalog/conferences/AAAI/aaai_2025.csv
AAAI,2026,4149,4149,4149,4149,official_plus_secondary,rolling,0,data/catalog/conferences/AAAI/aaai_2026.csv
ACL,2023,1074,1074,1074,1074,official,final,0,data/catalog/conferences/ACL/acl_2023.csv
ACL,2024,940,940,940,940,official,final,0,data/catalog/conferences/ACL/acl_2024.csv
ACL,2025,1699,1699,1699,1699,official,final,0,data/catalog/conferences/ACL/acl_2025.csv
ACL,2026,2296,2296,2293,2296,official,rolling,0,data/catalog/conferences/ACL/acl_2026.csv
ACM MM,2023,909,909,909,0,third_party_crosschecked,final,0,data/catalog/conferences/ACM MM/acm mm_2023.csv
ACM MM,2024,1172,1172,1172,0,third_party_crosschecked,final,0,data/catalog/conferences/ACM MM/acm mm_2024.csv
ACM MM,2025,1416,1416,1416,0,third_party_crosschecked,final,0,data/catalog/conferences/ACM MM/acm mm_2025.csv
AIJ,2023,156,156,156,0,official_plus_secondary,final,0,data/catalog/journals/AIJ/aij_2023.csv
AIJ,2024,124,124,124,0,official_plus_secondary,final,0,data/catalog/journals/AIJ/aij_2024.csv
AIJ,2025,116,116,116,0,official_plus_secondary,final,0,data/catalog/journals/AIJ/aij_2025.csv
AIJ,2026,85,85,85,0,official_plus_secondary,rolling,0,data/catalog/journals/AIJ/aij_2026.csv
COLM,2024,299,299,0,0,official,final,0,data/catalog/conferences/COLM/colm_2024.csv
COLM,2025,418,418,0,0,official,final,0,data/catalog/conferences/COLM/colm_2025.csv
COLM,2026,856,856,0,0,official,rolling,0,data/catalog/conferences/COLM/colm_2026.csv
CVPR,2023,2353,2353,0,2353,official,final,0,data/catalog/conferences/CVPR/cvpr_2023.csv
CVPR,2024,2716,2716,0,2716,official,final,0,data/catalog/conferences/CVPR/cvpr_2024.csv
CVPR,2025,2871,2871,0,2871,official,final,0,data/catalog/conferences/CVPR/cvpr_2025.csv
CVPR,2026,4068,4068,0,4068,official,rolling,0,data/catalog/conferences/CVPR/cvpr_2026.csv
ECCV,2024,2387,2387,0,2387,official,final,0,data/catalog/conferences/ECCV/eccv_2024.csv
EMNLP,2023,1047,1047,1041,1047,official,final,0,data/catalog/conferences/EMNLP/emnlp_2023.csv
